Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g10650.1	MYB61	MYB	3523335	-	3012	n.a.	n.a.	n.a.
At1g12930.1	MYB61	MYB	4403442	-	2161	n.a.	n.a.	n.a.
At1g12935.1	MYB61	MYB	4403442	-	3302	n.a.	n.a.	n.a.
At1g24420.1	MYB61	MYB	8659757	-	3081	n.a.	n.a.	n.a.
At1g24430.1	MYB61	MYB	8659757	+	-263	n.a.	n.a.	n.a.
At1g28400.1	MYB61	MYB	9973912	+	-133	n.a.	n.a.	n.a.
At1g43580.1	MYB61	MYB	16412934	+	2234	n.a.	n.a.	n.a.
At1g52230.1	MYB61	MYB	19460465	-	1960	n.a.	n.a.	n.a.
At1g52240.1	MYB61	MYB	19460465	+	1070	n.a.	n.a.	n.a.
At1g52250.1	MYB61	MYB	19460465	+	2790	n.a.	n.a.	n.a.
At1g53970.1	MYB61	MYB	20153282	+	1195	n.a.	n.a.	n.a.
At1g53980.1	MYB61	MYB	20153282	-	-5	n.a.	n.a.	n.a.
At1g53990.1	MYB61	MYB	20153282	+	-1402	n.a.	n.a.	n.a.
At1g55300.1	MYB61	MYB	20635085	+	-1726	n.a.	n.a.	n.a.
At1g55310.1	MYB61	MYB	20635085	-	1353	n.a.	n.a.	n.a.
At1g55320.1	MYB61	MYB	20635085	-	-1941	n.a.	n.a.	n.a.
At1g55320.1	MYB61	MYB	20639984	+	2958	n.a.	n.a.	n.a.
At1g55325.1	MYB61	MYB	20639984	+	-1119	n.a.	n.a.	n.a.
At1g64250.1	MYB61	MYB	23846854	+	2303	n.a.	n.a.	n.a.
At1g64255.1	MYB61	MYB	23846854	+	-1763	n.a.	n.a.	n.a.
At1g65510.1	MYB61	MYB	24366486	+	3370	n.a.	n.a.	n.a.
At1g65520.1	MYB61	MYB	24366486	-	-830	n.a.	n.a.	n.a.
At1g65540.1	MYB61	MYB	24366486	-	3188	n.a.	n.a.	n.a.
At1g74660.1	MYB61	MYB	28051408	+	380	n.a.	n.a.	n.a.
At1g74720.1	MYB61	MYB	28079875	+	1061	n.a.	n.a.	n.a.
At1g79150.1	MYB61	MYB	29783444	-	-562	n.a.	n.a.	n.a.
At1g79160.1	MYB61	MYB	29783444	-	2222	n.a.	n.a.	n.a.
At2g03910.1	MYB61	MYB	1197448	-	-1852	n.a.	n.a.	n.a.
At2g03913.1	MYB61	MYB	1197448	+	-434	n.a.	n.a.	n.a.
At2g03915.1	MYB61	MYB	1197448	-	2981	n.a.	n.a.	n.a.
At2g07270.1	MYB61	MYB	3027520	+	-1887	n.a.	n.a.	n.a.
At2g07280.1	MYB61	MYB	3027520	-	1125	n.a.	n.a.	n.a.
At2g10690.1	MYB61	MYB	4217391	-	-1799	n.a.	n.a.	n.a.
At2g10740.1	MYB61	MYB	4217391	-	-898	n.a.	n.a.	n.a.
At2g13110.1	MYB61	MYB	5404083	-	948	n.a.	n.a.	n.a.
At2g27060.1	MYB61	MYB	11559875	-	1756	n.a.	n.a.	n.a.
At2g28540.1	MYB61	MYB	12227740	-	2580	n.a.	n.a.	n.a.
At2g28970.1	MYB61	MYB	12454104	-	3108	n.a.	n.a.	n.a.
At2g31345.1	MYB61	MYB	13374720	-	-1843	n.a.	n.a.	n.a.
At2g31350.1	MYB61	MYB	13374720	+	-649	n.a.	n.a.	n.a.
At2g33770.1	MYB61	MYB	14289130	-	986	n.a.	n.a.	n.a.
At2g34240.1	MYB61	MYB	14468934	-	2698	n.a.	n.a.	n.a.
At2g34250.1	MYB61	MYB	14468934	-	-204	n.a.	n.a.	n.a.
At2g37600.1	MYB61	MYB	15784269	-	-1817	n.a.	n.a.	n.a.
At2g37610.1	MYB61	MYB	15784269	-	482	n.a.	n.a.	n.a.
At2g37620.1	MYB61	MYB	15784269	+	-1983	n.a.	n.a.	n.a.
At2g40160.1	MYB61	MYB	16787752	-	3284	n.a.	n.a.	n.a.
At2g40170.1	MYB61	MYB	16787752	+	-416	n.a.	n.a.	n.a.
At2g40180.1	MYB61	MYB	16787752	-	-1848	n.a.	n.a.	n.a.
At2g46530.1	MYB61	MYB	19115199	-	3462	n.a.	n.a.	n.a.
At2g46535.1	MYB61	MYB	19115199	-	-1493	n.a.	n.a.	n.a.
At2g46540.1	MYB61	MYB	19115199	+	3642	n.a.	n.a.	n.a.
At3g11550.1	MYB61	MYB	3637781	-	-420	n.a.	n.a.	n.a.
At3g11560.1	MYB61	MYB	3637781	-	-1660	n.a.	n.a.	n.a.
At3g21610.1	MYB61	MYB	7610565	-	153	n.a.	n.a.	n.a.
At3g21620.1	MYB61	MYB	7610565	-	3903	n.a.	n.a.	n.a.
At3g22890.1	MYB61	MYB	8113949	-	1219	n.a.	n.a.	n.a.
At3g22900.1	MYB61	MYB	8113949	-	-1235	n.a.	n.a.	n.a.
At3g27520.1	MYB61	MYB	10196518	-	2859	n.a.	n.a.	n.a.
At3g42190.1	MYB61	MYB	14379541	+	3629	n.a.	n.a.	n.a.
At3g44510.1	MYB61	MYB	16118887	+	3288	n.a.	n.a.	n.a.
At3g46960.1	MYB61	MYB	17305226	-	3826	n.a.	n.a.	n.a.
At3g48060.1	MYB61	MYB	17759856	+	-376	n.a.	n.a.	n.a.
At3g48070.1	MYB61	MYB	17759856	-	-1840	n.a.	n.a.	n.a.
At3g49890.1	MYB61	MYB	18512980	-	2825	n.a.	n.a.	n.a.
At3g49900.1	MYB61	MYB	18512980	+	619	n.a.	n.a.	n.a.
At3g49925.1	MYB61	MYB	18521553	-	2756	n.a.	n.a.	n.a.
At3g49930.1	MYB61	MYB	18521553	-	322	n.a.	n.a.	n.a.
At3g53900.1	MYB61	MYB	19971598	+	-1775	n.a.	n.a.	n.a.
At3g53910.1	MYB61	MYB	19971598	+	-174	n.a.	n.a.	n.a.
At3g53920.1	MYB61	MYB	19971598	+	3329	n.a.	n.a.	n.a.
At3g53950.1	MYB61	MYB	19988221	+	1624	n.a.	n.a.	n.a.
At3g53960.1	MYB61	MYB	19988221	-	3716	n.a.	n.a.	n.a.
At3g59010.1	MYB61	MYB	21817993	-	-1802	n.a.	n.a.	n.a.
At3g62810.1	MYB61	MYB	23241562	+	2905	n.a.	n.a.	n.a.
At3g62820.1	MYB61	MYB	23241562	+	838	n.a.	n.a.	n.a.
At3g62830.1	MYB61	MYB	23241562	+	-1799	n.a.	n.a.	n.a.
At4g11740.1	MYB61	MYB	7073680	+	1826	n.a.	n.a.	n.a.
At4g11745.1	MYB61	MYB	7073680	-	2994	n.a.	n.a.	n.a.
At4g19110.1	MYB61	MYB	10460090	-	-751	n.a.	n.a.	n.a.
At4g19112.1	MYB61	MYB	10460090	-	-751	n.a.	n.a.	n.a.
At4g21705.1	MYB61	MYB	11536314	-	-1455	n.a.	n.a.	n.a.
At4g33330.1	MYB61	MYB	16060323	-	2751	n.a.	n.a.	n.a.
At4g37440.1	MYB61	MYB	17601228	+	12	n.a.	n.a.	n.a.
At4g37445.1	MYB61	MYB	17601228	-	3699	n.a.	n.a.	n.a.
At5g01185.1	MYB61	MYB	67423	-	2500	n.a.	n.a.	n.a.
At5g06360.1	MYB61	MYB	1947842	-	3073	n.a.	n.a.	n.a.
At5g06370.1	MYB61	MYB	1947842	+	771	n.a.	n.a.	n.a.
At5g06380.1	MYB61	MYB	1947842	-	-1474	n.a.	n.a.	n.a.
At5g07050.1	MYB61	MYB	2194577	+	-1160	n.a.	n.a.	n.a.
At5g07060.1	MYB61	MYB	2194577	+	1296	n.a.	n.a.	n.a.
At5g07070.1	MYB61	MYB	2198614	-	-499	n.a.	n.a.	n.a.
At5g07080.1	MYB61	MYB	2198614	+	-1719	n.a.	n.a.	n.a.
At5g12010.1	MYB61	MYB	3880843	+	-1303	n.a.	n.a.	n.a.
At5g12020.1	MYB61	MYB	3880843	+	2096	n.a.	n.a.	n.a.
At5g15380.1	MYB61	MYB	4991446	-	96	n.a.	n.a.	n.a.
At5g25615.1	MYB61	MYB	8931671	-	2491	n.a.	n.a.	n.a.
At5g28824.1	MYB61	MYB	10842972	-	2788	n.a.	n.a.	n.a.
At5g32482.1	MYB61	MYB	12134703	-	2491	n.a.	n.a.	n.a.
At5g32484.1	MYB61	MYB	12134703	-	1315	n.a.	n.a.	n.a.
At5g35932.1	MYB61	MYB	14095246	-	1766	n.a.	n.a.	n.a.
At5g37473.1	MYB61	MYB	14886632	-	1751	n.a.	n.a.	n.a.
At5g37475.1	MYB61	MYB	14886632	-	-661	n.a.	n.a.	n.a.
At5g46520.1	MYB61	MYB	18883980	-	-1014	n.a.	n.a.	n.a.
At5g49890.1	MYB61	MYB	20307401	-	2175	n.a.	n.a.	n.a.
At5g54900.1	MYB61	MYB	22315823	-	3214	n.a.	n.a.	n.a.
At5g54910.1	MYB61	MYB	22315823	+	3122	n.a.	n.a.	n.a.
At5g56200.1	MYB61	MYB	22766446	+	1452	n.a.	n.a.	n.a.
At5g56210.1	MYB61	MYB	22766446	-	3512	n.a.	n.a.	n.a.
At5g65390.1	MYB61	MYB	26146183	+	381	n.a.	n.a.	n.a.
