Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01020.1	TBP	- other	8833	+	-96	10.98	5.16	5.49
At1g01060.1	TBP	- other	37909	-	-69	10.98	5.16	5.32
At1g01070.1	TBP	- other	37909	-	3035	10.98	5.16	5.32
At1g01070.1	TBP	- other	40969	+	-25	10.98	5.16	6.64
At1g01090.1	TBP	- other	49310	+	-24	10.98	5.16	5.28
At1g01100.1	TBP	- other	49310	+	1798	10.98	5.16	5.28
At1g01100.1	TBP	- other	52825	-	-1717	10.98	5.16	5.55
At1g01110.1	TBP	- other	52825	+	-44	10.98	5.16	5.55
At1g01160.1	TBP	- other	74757	+	2418	10.98	5.16	5.23
At1g01170.1	TBP	- other	74757	-	-20	10.98	5.16	5.23
At1g01170.1	TBP	- other	75546	-	-809	10.98	5.16	5.64
At1g01180.1	TBP	- other	74757	+	-876	10.98	5.16	5.23
At1g01180.1	TBP	- other	75546	+	-87	10.98	5.16	5.64
At1g01183.1	TBP	- other	75546	-	3486	10.98	5.16	5.64
At1g01190.1	TBP	- other	84973	-	-109	10.98	5.16	6.28
At1g01190.1	TBP	- other	85035	-	-171	10.98	5.16	6.6
At1g01200.1	TBP	- other	84973	-	3240	10.98	5.16	6.28
At1g01200.1	TBP	- other	85035	-	3178	10.98	5.16	6.6
At1g01200.1	TBP	- other	88244	+	-31	10.98	5.16	6.04
At1g01210.1	TBP	- other	88244	-	-654	10.98	5.16	6.04
At1g01300.1	TBP	- other	119368	+	2425	10.98	5.16	5.35
At1g01300.1	TBP	- other	119370	+	2427	10.98	5.16	5.93
At1g01305.1	TBP	- other	119368	+	-29	10.98	5.16	5.35
At1g01305.1	TBP	- other	119370	+	-27	10.98	5.16	5.93
At1g01310.1	TBP	- other	119368	+	-786	10.98	5.16	5.35
At1g01310.1	TBP	- other	119370	+	-784	10.98	5.16	5.93
At1g01320.1	TBP	- other	130317	+	-218	10.98	5.16	5.69
At1g01340.1	TBP	- other	135376	-	-54	10.98	5.16	6.97
At1g01350.1	TBP	- other	135376	+	-748	10.98	5.16	6.97
At1g01355.1	TBP	- other	141934	+	3421	10.98	5.16	7.32
At1g01360.1	TBP	- other	141934	+	-37	10.98	5.16	7.32
At1g01370.1	TBP	- other	141934	+	-1630	10.98	5.16	7.32
At1g01370.1	TBP	- other	147109	+	3545	10.98	5.16	8.11
At1g01380.1	TBP	- other	147109	+	-44	10.98	5.16	8.11
At1g01390.1	TBP	- other	147109	-	2697	10.98	5.16	8.11
At1g01400.1	TBP	- other	152255	+	-45	10.98	5.16	9.53
At1g01400.1	TBP	- other	153082	-	-872	10.98	5.16	5.24
At1g01410.1	TBP	- other	152255	-	-858	10.98	5.16	9.53
At1g01410.1	TBP	- other	153082	+	-31	10.98	5.16	5.24
At1g01410.1	TBP	- other	156094	-	2981	10.98	5.16	5.22
At1g01420.1	TBP	- other	153082	-	2929	10.98	5.16	5.24
At1g01420.1	TBP	- other	156094	+	-83	10.98	5.16	5.22
At1g01430.1	TBP	- other	156094	+	2561	10.98	5.16	5.22
At1g01471.1	TBP	- other	175736	+	2485	10.98	5.16	7.29
At1g01471.1	TBP	- other	175738	+	2487	10.98	5.16	5.7
At1g01480.1	TBP	- other	175736	+	-46	10.98	5.16	7.29
At1g01480.1	TBP	- other	175738	+	-44	10.98	5.16	5.7
At1g01520.1	TBP	- other	193719	-	3123	10.98	5.16	5.94
At1g01520.1	TBP	- other	193725	-	3129	10.98	5.16	9.53
At1g01530.1	TBP	- other	193719	+	-49	10.98	5.16	5.94
At1g01530.1	TBP	- other	193725	+	-55	10.98	5.16	9.53
At1g01560.1	TBP	- other	204924	+	2788	10.98	5.16	6.61
At1g01570.1	TBP	- other	204924	+	-252	10.98	5.16	6.61
At1g01580.1	TBP	- other	209255	-	-140	10.98	5.16	6.22
At1g01580.1	TBP	- other	209257	+	-138	10.98	5.16	7.09
At1g01590.1	TBP	- other	213953	-	-276	10.98	5.16	5.34
At1g01590.1	TBP	- other	213975	+	-254	10.98	5.16	5.68
At1g01590.1	TBP	- other	213977	+	-252	10.98	5.16	6.11
At1g01590.1	TBP	- other	214083	+	-146	10.98	5.16	6.15
At1g01590.1	TBP	- other	214112	+	-117	10.98	5.16	7.57
At1g01590.1	TBP	- other	214142	+	-87	10.98	5.16	5.74
At1g01700.1	TBP	- other	262774	+	-1300	10.98	5.16	5.9
At1g01710.1	TBP	- other	262774	-	-54	10.98	5.16	5.9
At1g01760.1	TBP	- other	278552	-	-104	10.98	5.16	5.6
At1g01770.1	TBP	- other	278552	+	-63	10.98	5.16	5.6
At1g01800.1	TBP	- other	295177	+	1835	10.98	5.16	7.1
At1g01800.1	TBP	- other	295179	+	1837	10.98	5.16	7.08
At1g01810.1	TBP	- other	295177	+	-44	10.98	5.16	7.1
At1g01810.1	TBP	- other	295179	+	-42	10.98	5.16	7.08
At1g01820.1	TBP	- other	295177	-	2943	10.98	5.16	7.1
At1g01820.1	TBP	- other	295179	-	2941	10.98	5.16	7.08
At1g01870.1	TBP	- other	309152	-	2768	10.98	5.16	5.45
At1g01880.1	TBP	- other	309152	+	-161	10.98	5.16	5.45
At1g01890.1	TBP	- other	309152	+	195	10.98	5.16	5.45
At1g01890.1	TBP	- other	310271	-	-924	10.98	5.16	7.13
At1g01900.1	TBP	- other	310271	+	-45	10.98	5.16	7.13
