Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	MYB55(1)	MYB	2677	+	-954	12.1	6.96	7.85
At1g01030.1	MYB55(1)	MYB	12023	-	1691	12.1	6.96	7.41
At1g01030.1	MYB55(1)	MYB	10860	+	2854	12.1	6.96	8.04
At1g01040.1	MYB55(1)	MYB	26730	-	3584	12.1	6.96	8.92
At1g01046.1	MYB55(1)	MYB	26730	-	-1770	12.1	6.96	8.92
At1g01080.1	MYB55(1)	MYB	45923	-	1096	12.1	6.96	7.5
At1g01080.1	MYB55(1)	MYB	48658	+	-1639	12.1	6.96	10.68
At1g01090.1	MYB55(1)	MYB	48658	+	628	12.1	6.96	10.68
At1g01090.1	MYB55(1)	MYB	45923	-	3363	12.1	6.96	7.5
At1g01100.1	MYB55(1)	MYB	48658	+	2450	12.1	6.96	10.68
At1g01110.1	MYB55(1)	MYB	53712	-	843	12.1	6.96	9.55
At1g01110.1	MYB55(1)	MYB	56557	+	3688	12.1	6.96	7.21
At1g01120.1	MYB55(1)	MYB	56557	-	2610	12.1	6.96	7.21
At1g01130.1	MYB55(1)	MYB	62019	+	1792	12.1	6.96	10.67
At1g01140.1	MYB55(1)	MYB	66747	-	878	12.1	6.96	7.85
At1g01140.1	MYB55(1)	MYB	67205	-	420	12.1	6.96	7.27
At1g01150.1	MYB55(1)	MYB	69930	-	2208	12.1	6.96	7.5
At1g01150.1	MYB55(1)	MYB	72090	+	48	12.1	6.96	7.42
At1g01160.1	MYB55(1)	MYB	72090	-	-249	12.1	6.96	7.42
At1g01180.1	MYB55(1)	MYB	79121	-	3488	12.1	6.96	7.95
At1g01183.1	MYB55(1)	MYB	79121	+	-89	12.1	6.96	7.95
At1g01190.1	MYB55(1)	MYB	84438	+	426	12.1	6.96	7.29
At1g01200.1	MYB55(1)	MYB	87090	+	1123	12.1	6.96	9.01
At1g01200.1	MYB55(1)	MYB	87119	-	1094	12.1	6.96	10.43
At1g01200.1	MYB55(1)	MYB	84438	+	3775	12.1	6.96	7.29
At1g01210.1	MYB55(1)	MYB	87090	-	-1808	12.1	6.96	9.01
At1g01210.1	MYB55(1)	MYB	92151	-	3253	12.1	6.96	7.43
At1g01210.1	MYB55(1)	MYB	87119	+	-1779	12.1	6.96	10.43
At1g01220.1	MYB55(1)	MYB	95418	-	3668	12.1	6.96	9.67
At1g01220.1	MYB55(1)	MYB	94300	-	2550	12.1	6.96	9.09
At1g01220.1	MYB55(1)	MYB	92151	-	401	12.1	6.96	7.43
At1g01225.1	MYB55(1)	MYB	95418	-	-569	12.1	6.96	9.67
At1g01225.1	MYB55(1)	MYB	97232	-	1245	12.1	6.96	6.96
At1g01225.1	MYB55(1)	MYB	94300	-	-1687	12.1	6.96	9.09
At1g01225.1	MYB55(1)	MYB	96563	-	576	12.1	6.96	7.28
At1g01230.1	MYB55(1)	MYB	96563	-	-893	12.1	6.96	7.28
At1g01230.1	MYB55(1)	MYB	97232	-	-224	12.1	6.96	6.96
At1g01250.1	MYB55(1)	MYB	106250	+	-920	12.1	6.96	7.32
At1g01250.1	MYB55(1)	MYB	104819	-	511	12.1	6.96	6.99
At1g01250.1	MYB55(1)	MYB	105251	+	79	12.1	6.96	9.15
At1g01280.1	MYB55(1)	MYB	113735	-	1472	12.1	6.96	10.51
At1g01290.1	MYB55(1)	MYB	113735	-	-551	12.1	6.96	10.51
At1g01290.1	MYB55(1)	MYB	116014	+	1728	12.1	6.96	9.23
At1g01300.1	MYB55(1)	MYB	116014	+	-929	12.1	6.96	9.23
At1g01305.1	MYB55(1)	MYB	120842	+	1445	12.1	6.96	8.27
At1g01310.1	MYB55(1)	MYB	120842	+	688	12.1	6.96	8.27
At1g01320.1	MYB55(1)	MYB	130028	+	71	12.1	6.96	7.48
At1g01340.1	MYB55(1)	MYB	132451	+	2871	12.1	6.96	7.51
At1g01340.1	MYB55(1)	MYB	135465	-	-143	12.1	6.96	6.96
At1g01340.1	MYB55(1)	MYB	133216	-	2106	12.1	6.96	8.25
At1g01350.1	MYB55(1)	MYB	135465	+	-659	12.1	6.96	6.96
At1g01355.1	MYB55(1)	MYB	141977	-	3464	12.1	6.96	7.51
At1g01360.1	MYB55(1)	MYB	141977	-	6	12.1	6.96	7.51
At1g01370.1	MYB55(1)	MYB	141977	-	-1587	12.1	6.96	7.51
At1g01400.1	MYB55(1)	MYB	153752	-	-1542	12.1	6.96	7.03
At1g01400.1	MYB55(1)	MYB	151931	+	279	12.1	6.96	7.65
At1g01400.1	MYB55(1)	MYB	152933	+	-723	12.1	6.96	9.37
At1g01410.1	MYB55(1)	MYB	152933	-	-180	12.1	6.96	9.37
At1g01410.1	MYB55(1)	MYB	151931	-	-1182	12.1	6.96	7.65
At1g01410.1	MYB55(1)	MYB	156587	-	3474	12.1	6.96	8.25
At1g01410.1	MYB55(1)	MYB	156224	-	3111	12.1	6.96	7.65
At1g01410.1	MYB55(1)	MYB	153752	+	639	12.1	6.96	7.03
At1g01420.1	MYB55(1)	MYB	156224	+	-213	12.1	6.96	7.65
At1g01420.1	MYB55(1)	MYB	152933	+	3078	12.1	6.96	9.37
At1g01420.1	MYB55(1)	MYB	153752	-	2259	12.1	6.96	7.03
At1g01420.1	MYB55(1)	MYB	156587	+	-576	12.1	6.96	8.25
At1g01430.1	MYB55(1)	MYB	156587	+	2068	12.1	6.96	8.25
At1g01430.1	MYB55(1)	MYB	156224	+	2431	12.1	6.96	7.65
At1g01448.1	MYB55(1)	MYB	165704	+	2273	12.1	6.96	7.95
At1g01450.1	MYB55(1)	MYB	165704	-	-187	12.1	6.96	7.95
At1g01453.1	MYB55(1)	MYB	165704	-	2138	12.1	6.96	7.95
At1g01460.1	MYB55(1)	MYB	172618	+	3895	12.1	6.96	8.27
At1g01460.1	MYB55(1)	MYB	171687	+	2964	12.1	6.96	7.97
At1g01470.1	MYB55(1)	MYB	171687	-	1261	12.1	6.96	7.97
At1g01470.1	MYB55(1)	MYB	172618	-	330	12.1	6.96	8.27
At1g01471.1	MYB55(1)	MYB	172618	+	-633	12.1	6.96	8.27
At1g01471.1	MYB55(1)	MYB	171687	+	-1564	12.1	6.96	7.97
At1g01480.1	MYB55(1)	MYB	178948	-	3166	12.1	6.96	7.03
At1g01480.1	MYB55(1)	MYB	179426	+	3644	12.1	6.96	8.61
At1g01490.1	MYB55(1)	MYB	178948	+	3410	12.1	6.96	7.03
At1g01490.1	MYB55(1)	MYB	179426	-	2932	12.1	6.96	8.61
At1g01490.1	MYB55(1)	MYB	181202	-	1156	12.1	6.96	8.4
At1g01490.1	MYB55(1)	MYB	181206	-	1152	12.1	6.96	8.61
At1g01490.1	MYB55(1)	MYB	180457	+	1901	12.1	6.96	7.32
At1g01500.1	MYB55(1)	MYB	186578	+	1445	12.1	6.96	8.54
At1g01510.1	MYB55(1)	MYB	186578	+	-633	12.1	6.96	8.54
At1g01550.1	MYB55(1)	MYB	203099	+	3460	12.1	6.96	8.11
At1g01550.1	MYB55(1)	MYB	202683	-	3044	12.1	6.96	7.51
At1g01560.1	MYB55(1)	MYB	203099	+	963	12.1	6.96	8.11
At1g01560.1	MYB55(1)	MYB	205417	+	3281	12.1	6.96	7.65
At1g01560.1	MYB55(1)	MYB	202683	-	547	12.1	6.96	7.51
At1g01570.1	MYB55(1)	MYB	205417	+	241	12.1	6.96	7.65
At1g01570.1	MYB55(1)	MYB	208883	-	3707	12.1	6.96	6.96
