Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g02520.1	E2Fe	E2F/DP	526718	-	2584	n.a.	n.a.	n.a.
At1g02530.1	E2Fe	E2F/DP	532521	-	2726	n.a.	n.a.	n.a.
At1g02540.1	E2Fe	E2F/DP	532521	+	3178	n.a.	n.a.	n.a.
At1g03070.1	E2Fe	E2F/DP	730083	+	148	n.a.	n.a.	n.a.
At1g04520.1	E2Fe	E2F/DP	1234740	-	3163	n.a.	n.a.	n.a.
At1g04530.1	E2Fe	E2F/DP	1234740	+	1293	n.a.	n.a.	n.a.
At1g05055.1	E2Fe	E2F/DP	1452822	-	-1936	n.a.	n.a.	n.a.
At1g05060.1	E2Fe	E2F/DP	1452822	-	49	n.a.	n.a.	n.a.
At1g05065.1	E2Fe	E2F/DP	1452822	-	2397	n.a.	n.a.	n.a.
At1g06570.1	E2Fe	E2F/DP	2014820	+	-1276	n.a.	n.a.	n.a.
At1g06580.1	E2Fe	E2F/DP	2014820	+	1233	n.a.	n.a.	n.a.
At1g08250.1	E2Fe	E2F/DP	2590747	+	-449	n.a.	n.a.	n.a.
At1g08250.1	E2Fe	E2F/DP	2590752	+	-454	n.a.	n.a.	n.a.
At1g08260.1	E2Fe	E2F/DP	2590752	-	-189	n.a.	n.a.	n.a.
At1g08260.1	E2Fe	E2F/DP	2590747	-	-194	n.a.	n.a.	n.a.
At1g08360.1	E2Fe	E2F/DP	2639399	-	3391	n.a.	n.a.	n.a.
At1g08370.1	E2Fe	E2F/DP	2639399	-	1221	n.a.	n.a.	n.a.
At1g08380.1	E2Fe	E2F/DP	2639399	+	2426	n.a.	n.a.	n.a.
At1g09420.1	E2Fe	E2F/DP	3042588	+	-767	n.a.	n.a.	n.a.
At1g09430.1	E2Fe	E2F/DP	3042588	-	590	n.a.	n.a.	n.a.
At1g10370.1	E2Fe	E2F/DP	3398984	-	-625	n.a.	n.a.	n.a.
At1g10380.1	E2Fe	E2F/DP	3398984	+	-1623	n.a.	n.a.	n.a.
At1g11590.1	E2Fe	E2F/DP	3896401	-	3821	n.a.	n.a.	n.a.
At1g11592.1	E2Fe	E2F/DP	3896401	+	533	n.a.	n.a.	n.a.
At1g11595.1	E2Fe	E2F/DP	3896401	-	-1862	n.a.	n.a.	n.a.
At1g12420.1	E2Fe	E2F/DP	4231070	-	-1934	n.a.	n.a.	n.a.
At1g12423.1	E2Fe	E2F/DP	4231070	-	74	n.a.	n.a.	n.a.
At1g13120.1	E2Fe	E2F/DP	4472241	+	970	n.a.	n.a.	n.a.
