Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01190.1	CBP60g	CAMTA-like	85870	+	-1006	n.a.	n.a.	n.a.
At1g01200.1	CBP60g	CAMTA-like	85870	+	2343	n.a.	n.a.	n.a.
At1g01200.1	CBP60g	CAMTA-like	88238	-	-25	n.a.	n.a.	n.a.
At1g01210.1	CBP60g	CAMTA-like	88238	+	-660	n.a.	n.a.	n.a.
At1g01220.1	CBP60g	CAMTA-like	94111	-	2361	n.a.	n.a.	n.a.
At1g01225.1	CBP60g	CAMTA-like	94111	-	-1876	n.a.	n.a.	n.a.
At1g01340.1	CBP60g	CAMTA-like	135572	+	-250	n.a.	n.a.	n.a.
At1g01350.1	CBP60g	CAMTA-like	135572	-	-552	n.a.	n.a.	n.a.
At1g01370.1	CBP60g	CAMTA-like	147426	+	3862	n.a.	n.a.	n.a.
At1g01380.1	CBP60g	CAMTA-like	147426	+	273	n.a.	n.a.	n.a.
At1g01390.1	CBP60g	CAMTA-like	147426	-	2380	n.a.	n.a.	n.a.
At1g01460.1	CBP60g	CAMTA-like	171246	-	2523	n.a.	n.a.	n.a.
At1g01470.1	CBP60g	CAMTA-like	171246	+	1702	n.a.	n.a.	n.a.
At1g01520.1	CBP60g	CAMTA-like	191785	-	1189	n.a.	n.a.	n.a.
At1g01530.1	CBP60g	CAMTA-like	191785	+	1885	n.a.	n.a.	n.a.
At1g01840.1	CBP60g	CAMTA-like	303751	-	214	n.a.	n.a.	n.a.
At1g01860.1	CBP60g	CAMTA-like	303751	+	2536	n.a.	n.a.	n.a.
At1g02074.1	CBP60g	CAMTA-like	373841	+	1777	n.a.	n.a.	n.a.
At1g02080.1	CBP60g	CAMTA-like	373841	+	340	n.a.	n.a.	n.a.
At1g02090.1	CBP60g	CAMTA-like	391253	-	-1606	n.a.	n.a.	n.a.
At1g02100.1	CBP60g	CAMTA-like	391253	+	1441	n.a.	n.a.	n.a.
At1g02110.1	CBP60g	CAMTA-like	391253	+	-1686	n.a.	n.a.	n.a.
At1g02136.1	CBP60g	CAMTA-like	404337	+	-1376	n.a.	n.a.	n.a.
At1g02140.1	CBP60g	CAMTA-like	404337	+	119	n.a.	n.a.	n.a.
At1g02145.1	CBP60g	CAMTA-like	404337	-	-263	n.a.	n.a.	n.a.
At1g02270.1	CBP60g	CAMTA-like	447929	+	-1694	n.a.	n.a.	n.a.
At1g02280.1	CBP60g	CAMTA-like	447929	+	2496	n.a.	n.a.	n.a.
At1g02380.1	CBP60g	CAMTA-like	479924	-	2924	n.a.	n.a.	n.a.
At1g02390.1	CBP60g	CAMTA-like	479924	-	-928	n.a.	n.a.	n.a.
At1g02391.1	CBP60g	CAMTA-like	479924	+	3995	n.a.	n.a.	n.a.
At1g02400.1	CBP60g	CAMTA-like	486397	-	-404	n.a.	n.a.	n.a.
At1g02470.1	CBP60g	CAMTA-like	512359	+	1265	n.a.	n.a.	n.a.
At1g02475.1	CBP60g	CAMTA-like	512359	+	3045	n.a.	n.a.	n.a.
At1g02990.1	CBP60g	CAMTA-like	687047	+	268	n.a.	n.a.	n.a.
At1g03600.1	CBP60g	CAMTA-like	900514	-	1639	n.a.	n.a.	n.a.
At1g03610.1	CBP60g	CAMTA-like	900514	-	-372	n.a.	n.a.	n.a.
At1g03920.1	CBP60g	CAMTA-like	1001340	-	20	n.a.	n.a.	n.a.
At1g04030.1	CBP60g	CAMTA-like	1040966	+	449	n.a.	n.a.	n.a.
At1g04040.1	CBP60g	CAMTA-like	1040966	-	2897	n.a.	n.a.	n.a.
At1g04410.1	CBP60g	CAMTA-like	1191921	-	-510	n.a.	n.a.	n.a.
At1g04420.1	CBP60g	CAMTA-like	1191921	+	314	n.a.	n.a.	n.a.
At1g04660.1	CBP60g	CAMTA-like	1301752	-	20	n.a.	n.a.	n.a.
At1g04670.1	CBP60g	CAMTA-like	1301752	+	-108	n.a.	n.a.	n.a.
At1g04690.1	CBP60g	CAMTA-like	1316819	+	3256	n.a.	n.a.	n.a.
At1g04700.1	CBP60g	CAMTA-like	1316819	+	566	n.a.	n.a.	n.a.
At1g04750.1	CBP60g	CAMTA-like	1333917	+	-351	n.a.	n.a.	n.a.
At1g04760.1	CBP60g	CAMTA-like	1333917	-	-842	n.a.	n.a.	n.a.
At1g04900.1	CBP60g	CAMTA-like	1386509	+	2669	n.a.	n.a.	n.a.
At1g04940.1	CBP60g	CAMTA-like	1400861	-	1680	n.a.	n.a.	n.a.
At1g04945.1	CBP60g	CAMTA-like	1400861	-	-46	n.a.	n.a.	n.a.
At1g05040.1	CBP60g	CAMTA-like	1447306	-	1141	n.a.	n.a.	n.a.
At1g05055.1	CBP60g	CAMTA-like	1447306	-	3580	n.a.	n.a.	n.a.
At1g05100.1	CBP60g	CAMTA-like	1468985	-	-624	n.a.	n.a.	n.a.
At1g05490.1	CBP60g	CAMTA-like	1621171	+	2280	n.a.	n.a.	n.a.
At1g05580.1	CBP60g	CAMTA-like	1670023	+	-1122	n.a.	n.a.	n.a.
At1g05590.1	CBP60g	CAMTA-like	1670023	-	674	n.a.	n.a.	n.a.
At1g05785.1	CBP60g	CAMTA-like	1730739	+	491	n.a.	n.a.	n.a.
At1g06050.1	CBP60g	CAMTA-like	1832985	-	-431	n.a.	n.a.	n.a.
At1g06060.1	CBP60g	CAMTA-like	1832985	+	43	n.a.	n.a.	n.a.
At1g06080.1	CBP60g	CAMTA-like	1843910	+	343	n.a.	n.a.	n.a.
At1g06135.1	CBP60g	CAMTA-like	1862968	+	772	n.a.	n.a.	n.a.
At1g06137.1	CBP60g	CAMTA-like	1862968	-	781	n.a.	n.a.	n.a.
At1g06140.1	CBP60g	CAMTA-like	1868401	-	3606	n.a.	n.a.	n.a.
At1g06145.1	CBP60g	CAMTA-like	1868401	+	471	n.a.	n.a.	n.a.
At1g06260.1	CBP60g	CAMTA-like	1918496	-	2067	n.a.	n.a.	n.a.
At1g06270.1	CBP60g	CAMTA-like	1918496	+	1263	n.a.	n.a.	n.a.
At1g06280.1	CBP60g	CAMTA-like	1918496	+	2450	n.a.	n.a.	n.a.
At1g07025.1	CBP60g	CAMTA-like	2158439	-	-282	n.a.	n.a.	n.a.
At1g07030.1	CBP60g	CAMTA-like	2158439	-	2369	n.a.	n.a.	n.a.
At1g07270.1	CBP60g	CAMTA-like	2232928	-	-32	n.a.	n.a.	n.a.
At1g07450.1	CBP60g	CAMTA-like	2290091	+	-758	n.a.	n.a.	n.a.
At1g07460.1	CBP60g	CAMTA-like	2290091	-	-107	n.a.	n.a.	n.a.
At1g07470.1	CBP60g	CAMTA-like	2290091	-	-1363	n.a.	n.a.	n.a.
At1g07650.1	CBP60g	CAMTA-like	2362655	+	3903	n.a.	n.a.	n.a.
At1g07702.1	CBP60g	CAMTA-like	2383275	+	-947	n.a.	n.a.	n.a.
At1g07705.1	CBP60g	CAMTA-like	2383275	-	1663	n.a.	n.a.	n.a.
At1g08105.1	CBP60g	CAMTA-like	2534460	-	323	n.a.	n.a.	n.a.
At1g08110.1	CBP60g	CAMTA-like	2534460	+	-866	n.a.	n.a.	n.a.
At1g08130.1	CBP60g	CAMTA-like	2547703	-	240	n.a.	n.a.	n.a.
At1g08135.1	CBP60g	CAMTA-like	2547703	-	3767	n.a.	n.a.	n.a.
At1g08315.1	CBP60g	CAMTA-like	2622775	-	-1233	n.a.	n.a.	n.a.
At1g08510.1	CBP60g	CAMTA-like	2694116	+	264	n.a.	n.a.	n.a.
At1g08680.1	CBP60g	CAMTA-like	2765895	+	3302	n.a.	n.a.	n.a.
At1g08695.1	CBP60g	CAMTA-like	2765895	-	3591	n.a.	n.a.	n.a.
At1g08740.1	CBP60g	CAMTA-like	2799833	+	251	n.a.	n.a.	n.a.
At1g08750.1	CBP60g	CAMTA-like	2799833	-	-1237	n.a.	n.a.	n.a.
At1g08770.1	CBP60g	CAMTA-like	2811155	-	2269	n.a.	n.a.	n.a.
At1g08780.1	CBP60g	CAMTA-like	2811155	+	39	n.a.	n.a.	n.a.
At1g08790.1	CBP60g	CAMTA-like	2811155	-	-837	n.a.	n.a.	n.a.
At1g08860.1	CBP60g	CAMTA-like	2843816	+	1660	n.a.	n.a.	n.a.
At1g08870.1	CBP60g	CAMTA-like	2843816	-	2795	n.a.	n.a.	n.a.
At1g08980.1	CBP60g	CAMTA-like	2886037	-	1623	n.a.	n.a.	n.a.
At1g08985.1	CBP60g	CAMTA-like	2886037	-	-1251	n.a.	n.a.	n.a.
At1g08990.1	CBP60g	CAMTA-like	2891917	+	3161	n.a.	n.a.	n.a.
At1g09000.1	CBP60g	CAMTA-like	2891917	+	877	n.a.	n.a.	n.a.
At1g09050.1	CBP60g	CAMTA-like	2921364	-	3330	n.a.	n.a.	n.a.
At1g09210.1	CBP60g	CAMTA-like	2975582	+	1170	n.a.	n.a.	n.a.
At1g09220.1	CBP60g	CAMTA-like	2975582	+	3388	n.a.	n.a.	n.a.
At1g09340.1	CBP60g	CAMTA-like	3019176	+	3846	n.a.	n.a.	n.a.
At1g09350.1	CBP60g	CAMTA-like	3019176	+	-645	n.a.	n.a.	n.a.
At1g09486.1	CBP60g	CAMTA-like	3064494	-	-761	n.a.	n.a.	n.a.
At1g09490.1	CBP60g	CAMTA-like	3064494	+	368	n.a.	n.a.	n.a.
At1g09500.1	CBP60g	CAMTA-like	3068906	-	2151	n.a.	n.a.	n.a.
At1g09510.1	CBP60g	CAMTA-like	3068906	-	-481	n.a.	n.a.	n.a.
At1g09520.1	CBP60g	CAMTA-like	3068906	+	3146	n.a.	n.a.	n.a.
At1g09580.1	CBP60g	CAMTA-like	3106449	-	1859	n.a.	n.a.	n.a.
At1g09590.1	CBP60g	CAMTA-like	3106449	-	-55	n.a.	n.a.	n.a.
At1g09740.1	CBP60g	CAMTA-like	3158170	-	3636	n.a.	n.a.	n.a.
At1g09750.1	CBP60g	CAMTA-like	3158170	-	667	n.a.	n.a.	n.a.
At1g09760.1	CBP60g	CAMTA-like	3158170	+	3524	n.a.	n.a.	n.a.
At1g09790.1	CBP60g	CAMTA-like	3172619	+	-1798	n.a.	n.a.	n.a.
At1g09795.1	CBP60g	CAMTA-like	3172619	-	-917	n.a.	n.a.	n.a.
At1g09970.1	CBP60g	CAMTA-like	3252339	-	97	n.a.	n.a.	n.a.
At1g10010.1	CBP60g	CAMTA-like	3269440	+	3462	n.a.	n.a.	n.a.
At1g10020.1	CBP60g	CAMTA-like	3269440	-	2549	n.a.	n.a.	n.a.
At1g10140.1	CBP60g	CAMTA-like	3322101	+	1449	n.a.	n.a.	n.a.
