Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	TBF1	HSF	7544	+	3913	n.a.	n.a.	n.a.
At1g01010.1	TBF1	HSF	6128	+	2497	n.a.	n.a.	n.a.
At1g01010.1	TBF1	HSF	7541	+	3910	n.a.	n.a.	n.a.
At1g01020.1	TBF1	HSF	6128	-	2609	n.a.	n.a.	n.a.
At1g01020.1	TBF1	HSF	7541	-	1196	n.a.	n.a.	n.a.
At1g01020.1	TBF1	HSF	7544	-	1193	n.a.	n.a.	n.a.
At1g01020.1	TBF1	HSF	8704	-	33	n.a.	n.a.	n.a.
At1g01030.1	TBF1	HSF	11985	-	1729	n.a.	n.a.	n.a.
At1g01030.1	TBF1	HSF	11988	-	1726	n.a.	n.a.	n.a.
At1g01030.1	TBF1	HSF	11991	-	1723	n.a.	n.a.	n.a.
At1g01040.1	TBF1	HSF	21804	+	-1342	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37736	-	104	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37739	-	101	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37742	-	98	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37745	-	95	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37748	-	92	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37751	-	89	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37754	-	86	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37757	-	83	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37760	-	80	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37763	-	77	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37801	-	39	n.a.	n.a.	n.a.
At1g01060.1	TBF1	HSF	37804	-	36	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37736	-	3208	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37739	-	3205	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37742	-	3202	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37745	-	3199	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37748	-	3196	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37751	-	3193	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37754	-	3190	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37757	-	3187	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37760	-	3184	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37763	-	3181	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37801	-	3143	n.a.	n.a.	n.a.
At1g01070.1	TBF1	HSF	37804	-	3140	n.a.	n.a.	n.a.
At1g01080.1	TBF1	HSF	46544	+	475	n.a.	n.a.	n.a.
At1g01080.1	TBF1	HSF	45336	-	1683	n.a.	n.a.	n.a.
At1g01080.1	TBF1	HSF	46695	-	324	n.a.	n.a.	n.a.
At1g01080.1	TBF1	HSF	46749	-	270	n.a.	n.a.	n.a.
At1g01090.1	TBF1	HSF	50420	+	-1134	n.a.	n.a.	n.a.
At1g01090.1	TBF1	HSF	45336	-	3950	n.a.	n.a.	n.a.
At1g01090.1	TBF1	HSF	46695	-	2591	n.a.	n.a.	n.a.
At1g01090.1	TBF1	HSF	46749	-	2537	n.a.	n.a.	n.a.
At1g01090.1	TBF1	HSF	46544	+	2742	n.a.	n.a.	n.a.
At1g01090.1	TBF1	HSF	49907	-	-621	n.a.	n.a.	n.a.
At1g01100.1	TBF1	HSF	50420	+	688	n.a.	n.a.	n.a.
At1g01100.1	TBF1	HSF	49907	-	1201	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	64875	-	-1064	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	64878	-	-1067	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	64881	-	-1070	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	64884	-	-1073	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	64887	-	-1076	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	62349	-	1462	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	62352	-	1459	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	62355	-	1456	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	62358	-	1453	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	62361	-	1450	n.a.	n.a.	n.a.
At1g01130.1	TBF1	HSF	62364	-	1447	n.a.	n.a.	n.a.
At1g01140.1	TBF1	HSF	64875	-	2750	n.a.	n.a.	n.a.
At1g01140.1	TBF1	HSF	64878	-	2747	n.a.	n.a.	n.a.
At1g01140.1	TBF1	HSF	64881	-	2744	n.a.	n.a.	n.a.
At1g01140.1	TBF1	HSF	64884	-	2741	n.a.	n.a.	n.a.
At1g01140.1	TBF1	HSF	64887	-	2738	n.a.	n.a.	n.a.
At1g01150.1	TBF1	HSF	72573	-	-435	n.a.	n.a.	n.a.
At1g01160.1	TBF1	HSF	72573	+	234	n.a.	n.a.	n.a.
At1g01170.1	TBF1	HSF	72573	-	2164	n.a.	n.a.	n.a.
At1g01190.1	TBF1	HSF	84897	+	-33	n.a.	n.a.	n.a.
At1g01190.1	TBF1	HSF	84900	+	-36	n.a.	n.a.	n.a.
At1g01200.1	TBF1	HSF	84897	+	3316	n.a.	n.a.	n.a.
At1g01200.1	TBF1	HSF	84900	+	3313	n.a.	n.a.	n.a.
At1g01210.1	TBF1	HSF	91664	-	2766	n.a.	n.a.	n.a.
At1g01220.1	TBF1	HSF	91664	-	-86	n.a.	n.a.	n.a.
At1g01225.1	TBF1	HSF	97611	+	1624	n.a.	n.a.	n.a.
At1g01225.1	TBF1	HSF	96053	+	66	n.a.	n.a.	n.a.
At1g01225.1	TBF1	HSF	97189	+	1202	n.a.	n.a.	n.a.
At1g01225.1	TBF1	HSF	97192	+	1205	n.a.	n.a.	n.a.
At1g01225.1	TBF1	HSF	97195	+	1208	n.a.	n.a.	n.a.
At1g01225.1	TBF1	HSF	97207	+	1220	n.a.	n.a.	n.a.
At1g01230.1	TBF1	HSF	97195	+	-261	n.a.	n.a.	n.a.
At1g01230.1	TBF1	HSF	96053	+	-1403	n.a.	n.a.	n.a.
At1g01230.1	TBF1	HSF	97207	+	-249	n.a.	n.a.	n.a.
At1g01230.1	TBF1	HSF	100983	+	3527	n.a.	n.a.	n.a.
At1g01230.1	TBF1	HSF	97189	+	-267	n.a.	n.a.	n.a.
At1g01230.1	TBF1	HSF	97192	+	-264	n.a.	n.a.	n.a.
At1g01230.1	TBF1	HSF	97611	+	155	n.a.	n.a.	n.a.
At1g01240.1	TBF1	HSF	100983	+	1061	n.a.	n.a.	n.a.
At1g01240.1	TBF1	HSF	101564	+	1642	n.a.	n.a.	n.a.
At1g01240.1	TBF1	HSF	101502	+	1580	n.a.	n.a.	n.a.
At1g01250.1	TBF1	HSF	101502	-	3828	n.a.	n.a.	n.a.
At1g01250.1	TBF1	HSF	101564	-	3766	n.a.	n.a.	n.a.
At1g01250.1	TBF1	HSF	103937	-	1393	n.a.	n.a.	n.a.
At1g01260.1	TBF1	HSF	109925	+	893	n.a.	n.a.	n.a.
At1g01270.1	TBF1	HSF	109925	-	2036	n.a.	n.a.	n.a.
At1g01290.1	TBF1	HSF	117072	+	2786	n.a.	n.a.	n.a.
At1g01290.1	TBF1	HSF	117268	-	2982	n.a.	n.a.	n.a.
At1g01290.1	TBF1	HSF	117104	-	2818	n.a.	n.a.	n.a.
At1g01300.1	TBF1	HSF	117072	+	129	n.a.	n.a.	n.a.
At1g01300.1	TBF1	HSF	117104	-	161	n.a.	n.a.	n.a.
At1g01300.1	TBF1	HSF	117268	-	325	n.a.	n.a.	n.a.
At1g01305.1	TBF1	HSF	123131	-	3734	n.a.	n.a.	n.a.
At1g01305.1	TBF1	HSF	119864	-	467	n.a.	n.a.	n.a.
At1g01310.1	TBF1	HSF	119864	-	-290	n.a.	n.a.	n.a.
At1g01310.1	TBF1	HSF	123131	-	2977	n.a.	n.a.	n.a.
At1g01320.1	TBF1	HSF	127207	-	2892	n.a.	n.a.	n.a.
At1g01320.1	TBF1	HSF	130050	+	49	n.a.	n.a.	n.a.
At1g01340.1	TBF1	HSF	133378	+	1944	n.a.	n.a.	n.a.
At1g01355.1	TBF1	HSF	142045	-	3532	n.a.	n.a.	n.a.
At1g01355.1	TBF1	HSF	142048	-	3535	n.a.	n.a.	n.a.
At1g01360.1	TBF1	HSF	142048	-	77	n.a.	n.a.	n.a.
At1g01360.1	TBF1	HSF	142045	-	74	n.a.	n.a.	n.a.
At1g01370.1	TBF1	HSF	142045	-	-1519	n.a.	n.a.	n.a.
At1g01370.1	TBF1	HSF	142048	-	-1516	n.a.	n.a.	n.a.
At1g01430.1	TBF1	HSF	158810	-	-155	n.a.	n.a.	n.a.
At1g01440.1	TBF1	HSF	158810	-	3762	n.a.	n.a.	n.a.
At1g01440.1	TBF1	HSF	162017	-	555	n.a.	n.a.	n.a.
At1g01440.1	TBF1	HSF	162020	-	552	n.a.	n.a.	n.a.
At1g01448.1	TBF1	HSF	165162	-	1731	n.a.	n.a.	n.a.
At1g01448.1	TBF1	HSF	162017	+	-1414	n.a.	n.a.	n.a.
At1g01448.1	TBF1	HSF	162020	+	-1411	n.a.	n.a.	n.a.
At1g01450.1	TBF1	HSF	165162	+	355	n.a.	n.a.	n.a.
At1g01453.1	TBF1	HSF	165162	+	2680	n.a.	n.a.	n.a.
At1g01453.1	TBF1	HSF	168700	+	-858	n.a.	n.a.	n.a.
At1g01453.1	TBF1	HSF	168703	+	-861	n.a.	n.a.	n.a.
At1g01453.1	TBF1	HSF	168706	+	-864	n.a.	n.a.	n.a.
At1g01453.1	TBF1	HSF	168756	+	-914	n.a.	n.a.	n.a.
At1g01460.1	TBF1	HSF	170333	-	1610	n.a.	n.a.	n.a.
At1g01460.1	TBF1	HSF	168706	-	-17	n.a.	n.a.	n.a.
At1g01460.1	TBF1	HSF	168756	-	33	n.a.	n.a.	n.a.
At1g01460.1	TBF1	HSF	168700	-	-23	n.a.	n.a.	n.a.
At1g01460.1	TBF1	HSF	168703	-	-20	n.a.	n.a.	n.a.
At1g01470.1	TBF1	HSF	170333	+	2615	n.a.	n.a.	n.a.
At1g01490.1	TBF1	HSF	182175	-	183	n.a.	n.a.	n.a.
At1g01490.1	TBF1	HSF	182178	-	180	n.a.	n.a.	n.a.
At1g01500.1	TBF1	HSF	185015	-	-118	n.a.	n.a.	n.a.
At1g01500.1	TBF1	HSF	188703	+	3570	n.a.	n.a.	n.a.
At1g01500.1	TBF1	HSF	184489	+	-644	n.a.	n.a.	n.a.
At1g01500.1	TBF1	HSF	188700	+	3567	n.a.	n.a.	n.a.
At1g01510.1	TBF1	HSF	188700	+	1489	n.a.	n.a.	n.a.
At1g01510.1	TBF1	HSF	190901	-	3690	n.a.	n.a.	n.a.
At1g01510.1	TBF1	HSF	190904	-	3693	n.a.	n.a.	n.a.
At1g01510.1	TBF1	HSF	188703	+	1492	n.a.	n.a.	n.a.
At1g01520.1	TBF1	HSF	188700	+	-1896	n.a.	n.a.	n.a.
At1g01520.1	TBF1	HSF	190901	-	305	n.a.	n.a.	n.a.
At1g01520.1	TBF1	HSF	190904	-	308	n.a.	n.a.	n.a.
At1g01520.1	TBF1	HSF	191348	-	752	n.a.	n.a.	n.a.
At1g01520.1	TBF1	HSF	188703	+	-1893	n.a.	n.a.	n.a.
At1g01530.1	TBF1	HSF	190901	+	2769	n.a.	n.a.	n.a.
At1g01530.1	TBF1	HSF	190904	+	2766	n.a.	n.a.	n.a.
At1g01530.1	TBF1	HSF	191348	+	2322	n.a.	n.a.	n.a.
