Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01030.1	PIF3(1)	bHLH	12010	+	1704	19.88	10.89	12.91
At1g01120.1	PIF3(1)	bHLH	58393	+	774	19.88	10.89	11.37
At1g01250.1	PIF3(1)	bHLH	104774	+	556	19.88	10.89	11.44
At1g01290.1	PIF3(1)	bHLH	118083	+	3797	19.88	10.89	14.83
At1g01300.1	PIF3(1)	bHLH	118083	+	1140	19.88	10.89	14.83
At1g01305.1	PIF3(1)	bHLH	118083	+	-1314	19.88	10.89	14.83
At1g01460.1	PIF3(1)	bHLH	171550	+	2827	19.88	10.89	12.84
At1g01470.1	PIF3(1)	bHLH	171550	-	1398	19.88	10.89	12.84
At1g01471.1	PIF3(1)	bHLH	171550	+	-1701	19.88	10.89	12.84
At1g01600.1	PIF3(1)	bHLH	219282	-	288	19.88	10.89	12.35
At1g02100.1	PIF3(1)	bHLH	393174	-	3362	19.88	10.89	13.81
At1g02110.1	PIF3(1)	bHLH	393174	-	235	19.88	10.89	13.81
At1g02660.1	PIF3(1)	bHLH	575208	+	-227	19.88	10.89	12.07
At1g02670.1	PIF3(1)	bHLH	575208	-	-838	19.88	10.89	12.07
At1g03055.1	PIF3(1)	bHLH	713675	-	-1872	19.88	10.89	12.51
At1g03070.1	PIF3(1)	bHLH	729850	+	-85	19.88	10.89	12.56
At1g03370.1	PIF3(1)	bHLH	830316	-	3747	19.88	10.89	11.98
At1g03850.1	PIF3(1)	bHLH	977445	+	315	19.88	10.89	11.88
At1g03990.1	PIF3(1)	bHLH	1028384	-	3538	19.88	10.89	12.9
At1g04000.1	PIF3(1)	bHLH	1028384	+	734	19.88	10.89	12.9
At1g04180.1	PIF3(1)	bHLH	1103356	-	-1266	19.88	10.89	11.46
At1g04555.1	PIF3(1)	bHLH	1246360	+	3803	19.88	10.89	11.21
At1g04560.1	PIF3(1)	bHLH	1246360	+	1414	19.88	10.89	11.21
At1g04570.1	PIF3(1)	bHLH	1246360	-	2414	19.88	10.89	11.21
At1g05530.1	PIF3(1)	bHLH	1637738	-	124	19.88	10.89	13.12
At1g05540.1	PIF3(1)	bHLH	1637738	+	-1547	19.88	10.89	13.12
At1g05590.1	PIF3(1)	bHLH	1671471	-	2122	19.88	10.89	11.48
At1g05600.1	PIF3(1)	bHLH	1671471	-	-627	19.88	10.89	11.48
At1g06360.1	PIF3(1)	bHLH	1939534	+	924	19.88	10.89	11.88
At1g06970.1	PIF3(1)	bHLH	2140110	+	2002	19.88	10.89	13.73
At1g06980.1	PIF3(1)	bHLH	2140110	-	3710	19.88	10.89	13.73
At1g07400.1	PIF3(1)	bHLH	2275406	+	466	19.88	10.89	12.28
At1g07400.1	PIF3(1)	bHLH	2275432	+	492	19.88	10.89	14.47
