Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01020.1	RRTF1(2)	AP2/EREBP	8657	-	80	13.46	8.76	10.41
At1g01040.1	RRTF1(2)	AP2/EREBP	25861	+	2715	13.46	8.76	9.7
At1g01100.1	RRTF1(2)	AP2/EREBP	52584	-	-1476	13.46	8.76	11.01
At1g01110.1	RRTF1(2)	AP2/EREBP	52584	+	-285	13.46	8.76	11.01
At1g01120.1	RRTF1(2)	AP2/EREBP	58016	+	1151	13.46	8.76	9.32
At1g01170.1	RRTF1(2)	AP2/EREBP	76440	+	-1703	13.46	8.76	10.54
At1g01170.1	RRTF1(2)	AP2/EREBP	76320	+	-1583	13.46	8.76	9.46
At1g01180.1	RRTF1(2)	AP2/EREBP	77368	+	1735	13.46	8.76	9.81
At1g01180.1	RRTF1(2)	AP2/EREBP	76320	-	687	13.46	8.76	9.46
At1g01180.1	RRTF1(2)	AP2/EREBP	76440	-	807	13.46	8.76	10.54
At1g01183.1	RRTF1(2)	AP2/EREBP	76440	+	2592	13.46	8.76	10.54
At1g01183.1	RRTF1(2)	AP2/EREBP	77368	-	1664	13.46	8.76	9.81
At1g01183.1	RRTF1(2)	AP2/EREBP	76320	+	2712	13.46	8.76	9.46
At1g01210.1	RRTF1(2)	AP2/EREBP	90705	-	1807	13.46	8.76	9.35
At1g01220.1	RRTF1(2)	AP2/EREBP	90705	-	-1045	13.46	8.76	9.35
At1g01250.1	RRTF1(2)	AP2/EREBP	105221	-	109	13.46	8.76	11.51
At1g01305.1	RRTF1(2)	AP2/EREBP	120728	+	1331	13.46	8.76	9.41
At1g01310.1	RRTF1(2)	AP2/EREBP	120728	+	574	13.46	8.76	9.41
At1g01320.1	RRTF1(2)	AP2/EREBP	127393	-	2706	13.46	8.76	9.7
At1g01450.1	RRTF1(2)	AP2/EREBP	167411	-	-1894	13.46	8.76	8.81
At1g01453.1	RRTF1(2)	AP2/EREBP	167411	-	431	13.46	8.76	8.81
At1g01453.1	RRTF1(2)	AP2/EREBP	167750	-	92	13.46	8.76	9.76
At1g01460.1	RRTF1(2)	AP2/EREBP	167411	+	-1312	13.46	8.76	8.81
At1g01460.1	RRTF1(2)	AP2/EREBP	167750	+	-973	13.46	8.76	9.76
At1g01480.1	RRTF1(2)	AP2/EREBP	177282	+	1500	13.46	8.76	10.55
At1g01490.1	RRTF1(2)	AP2/EREBP	180529	+	1829	13.46	8.76	9.48
At1g01490.1	RRTF1(2)	AP2/EREBP	180661	+	1697	13.46	8.76	10.06
At1g01540.1	RRTF1(2)	AP2/EREBP	196164	+	352	13.46	8.76	13.46
At1g01620.1	RRTF1(2)	AP2/EREBP	226580	-	722	13.46	8.76	9.1
At1g01650.1	RRTF1(2)	AP2/EREBP	238494	+	-677	13.46	8.76	10.19
At1g01650.1	RRTF1(2)	AP2/EREBP	238484	+	-667	13.46	8.76	9.39
At1g01660.1	RRTF1(2)	AP2/EREBP	240498	-	2110	13.46	8.76	10.25
At1g01710.1	RRTF1(2)	AP2/EREBP	265413	+	2585	13.46	8.76	9.37
At1g01720.1	RRTF1(2)	AP2/EREBP	269215	+	885	13.46	8.76	10.07
At1g01720.1	RRTF1(2)	AP2/EREBP	269218	+	888	13.46	8.76	12.22
At1g01725.1	RRTF1(2)	AP2/EREBP	269215	-	1560	13.46	8.76	10.07
At1g01725.1	RRTF1(2)	AP2/EREBP	269218	-	1557	13.46	8.76	12.22
At1g01760.1	RRTF1(2)	AP2/EREBP	278959	+	-511	13.46	8.76	9.47
At1g01770.1	RRTF1(2)	AP2/EREBP	278959	-	344	13.46	8.76	9.47
At1g01900.1	RRTF1(2)	AP2/EREBP	312232	-	1916	13.46	8.76	9.88
At1g01910.1	RRTF1(2)	AP2/EREBP	312232	+	3670	13.46	8.76	9.88
At1g01910.1	RRTF1(2)	AP2/EREBP	315822	-	80	13.46	8.76	13.46
At1g01920.1	RRTF1(2)	AP2/EREBP	315822	+	-365	13.46	8.76	13.46
At1g01930.1	RRTF1(2)	AP2/EREBP	322725	-	135	13.46	8.76	9.32
At1g01940.1	RRTF1(2)	AP2/EREBP	322725	+	-302	13.46	8.76	9.32
At1g01960.1	RRTF1(2)	AP2/EREBP	338492	-	-910	13.46	8.76	9.17
At1g01970.1	RRTF1(2)	AP2/EREBP	338492	+	201	13.46	8.76	9.17
At1g01980.1	RRTF1(2)	AP2/EREBP	338492	-	3507	13.46	8.76	9.17
At1g01990.1	RRTF1(2)	AP2/EREBP	344015	-	326	13.46	8.76	9.94
At1g01990.1	RRTF1(2)	AP2/EREBP	344012	-	329	13.46	8.76	10.07
At1g02000.1	RRTF1(2)	AP2/EREBP	344015	+	-1797	13.46	8.76	9.94
At1g02000.1	RRTF1(2)	AP2/EREBP	344012	+	-1800	13.46	8.76	10.07
At1g02060.1	RRTF1(2)	AP2/EREBP	362980	+	114	13.46	8.76	10.06
At1g02065.1	RRTF1(2)	AP2/EREBP	367036	+	1827	13.46	8.76	9.94
At1g02065.1	RRTF1(2)	AP2/EREBP	366789	+	1580	13.46	8.76	10.07
At1g02065.1	RRTF1(2)	AP2/EREBP	366792	+	1583	13.46	8.76	10.54
At1g02070.1	RRTF1(2)	AP2/EREBP	367036	-	3931	13.46	8.76	9.94
At1g02120.1	RRTF1(2)	AP2/EREBP	399702	+	3941	13.46	8.76	12.22
At1g02130.1	RRTF1(2)	AP2/EREBP	399702	-	2180	13.46	8.76	12.22
At1g02136.1	RRTF1(2)	AP2/EREBP	399702	-	3259	13.46	8.76	12.22
At1g02150.1	RRTF1(2)	AP2/EREBP	408788	-	166	13.46	8.76	9.42
