Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	TaMYB80	MYB	7422	-	3791	11.99	6.45	7.08
At1g01020.1	TaMYB80	MYB	7422	+	1315	11.99	6.45	7.08
At1g01030.1	TaMYB80	MYB	14264	+	-550	11.99	6.45	6.51
At1g01040.1	TaMYB80	MYB	26921	+	3775	11.99	6.45	7.35
At1g01046.1	TaMYB80	MYB	28300	-	-200	11.99	6.45	6.49
At1g01046.1	TaMYB80	MYB	26921	+	-1579	11.99	6.45	7.35
At1g01046.1	TaMYB80	MYB	28068	+	-432	11.99	6.45	6.86
At1g01070.1	TaMYB80	MYB	42155	-	-1211	11.99	6.45	8.68
At1g01070.1	TaMYB80	MYB	42156	+	-1212	11.99	6.45	9.13
At1g01080.1	TaMYB80	MYB	44671	-	2348	11.99	6.45	6.64
At1g01120.1	TaMYB80	MYB	57740	-	1427	11.99	6.45	9.88
At1g01120.1	TaMYB80	MYB	57741	+	1426	11.99	6.45	7.64
At1g01130.1	TaMYB80	MYB	61448	-	2363	11.99	6.45	6.69
At1g01140.1	TaMYB80	MYB	68195	+	-570	11.99	6.45	6.47
At1g01150.1	TaMYB80	MYB	70886	-	1252	11.99	6.45	9.07
At1g01150.1	TaMYB80	MYB	68195	+	3943	11.99	6.45	6.47
At1g01150.1	TaMYB80	MYB	70887	+	1251	11.99	6.45	7.76
At1g01160.1	TaMYB80	MYB	73557	-	1218	11.99	6.45	6.9
At1g01160.1	TaMYB80	MYB	70887	-	-1452	11.99	6.45	7.76
At1g01160.1	TaMYB80	MYB	70886	+	-1453	11.99	6.45	9.07
At1g01170.1	TaMYB80	MYB	73557	+	1180	11.99	6.45	6.9
At1g01170.1	TaMYB80	MYB	76395	+	-1658	11.99	6.45	6.94
At1g01180.1	TaMYB80	MYB	76395	-	762	11.99	6.45	6.94
At1g01183.1	TaMYB80	MYB	76395	+	2637	11.99	6.45	6.94
At1g01190.1	TaMYB80	MYB	85076	-	-212	11.99	6.45	9.6
At1g01200.1	TaMYB80	MYB	88264	+	-51	11.99	6.45	8.57
At1g01200.1	TaMYB80	MYB	89234	+	-1021	11.99	6.45	6.81
At1g01200.1	TaMYB80	MYB	85076	-	3137	11.99	6.45	9.6
At1g01200.1	TaMYB80	MYB	88263	-	-50	11.99	6.45	8.14
At1g01210.1	TaMYB80	MYB	88263	+	-635	11.99	6.45	8.14
