Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01030.1	DYT1	bHLH	14743	-	-1029	16.25	9.86	10.59
At1g01090.1	DYT1	bHLH	50532	+	-1246	16.25	9.86	10.52
At1g01090.1	DYT1	bHLH	50532	-	-1246	16.25	9.86	11.46
At1g01100.1	DYT1	bHLH	50532	+	576	16.25	9.86	10.52
At1g01100.1	DYT1	bHLH	50532	-	576	16.25	9.86	11.46
At1g01340.1	DYT1	bHLH	134282	+	1040	16.25	9.86	10.3
At1g01350.1	DYT1	bHLH	134282	-	-1842	16.25	9.86	10.3
At1g01580.1	DYT1	bHLH	211298	+	1903	16.25	9.86	11.75
At1g02110.1	DYT1	bHLH	395281	+	2342	16.25	9.86	10.35
At1g02120.1	DYT1	bHLH	395281	+	-480	16.25	9.86	10.35
At1g02305.1	DYT1	bHLH	459502	-	3814	16.25	9.86	12.02
At1g02310.1	DYT1	bHLH	459502	+	1194	16.25	9.86	12.02
At1g02830.1	DYT1	bHLH	626726	+	-1118	16.25	9.86	10.72
At1g02840.1	DYT1	bHLH	626726	-	-15	16.25	9.86	10.72
At1g03430.1	DYT1	bHLH	851769	-	3897	16.25	9.86	10.45
At1g03440.1	DYT1	bHLH	851769	-	-596	16.25	9.86	10.45
At1g03687.1	DYT1	bHLH	921927	+	3628	16.25	9.86	10.35
At1g03700.1	DYT1	bHLH	921927	+	977	16.25	9.86	10.35
At1g03710.1	DYT1	bHLH	921927	+	-1499	16.25	9.86	10.35
At1g03750.1	DYT1	bHLH	941775	-	3856	16.25	9.86	10.86
At1g03750.1	DYT1	bHLH	941775	+	3856	16.25	9.86	10.87
At1g03760.1	DYT1	bHLH	941775	+	1601	16.25	9.86	10.86
At1g03760.1	DYT1	bHLH	941775	-	1601	16.25	9.86	10.87
At1g03850.1	DYT1	bHLH	979495	-	-1735	16.25	9.86	10.11
At1g03860.1	DYT1	bHLH	979495	-	2389	16.25	9.86	10.11
At1g03980.1	DYT1	bHLH	1022724	+	-617	16.25	9.86	10.37
At1g03982.1	DYT1	bHLH	1022724	+	994	16.25	9.86	10.37
At1g04620.1	DYT1	bHLH	1287979	+	-1396	16.25	9.86	10.05
At1g04625.1	DYT1	bHLH	1287979	+	973	16.25	9.86	10.05
At1g04630.1	DYT1	bHLH	1287979	+	3132	16.25	9.86	10.05
At1g04630.1	DYT1	bHLH	1291236	-	-125	16.25	9.86	12.87
At1g04635.1	DYT1	bHLH	1291236	+	-77	16.25	9.86	12.87
At1g04640.1	DYT1	bHLH	1291236	+	-843	16.25	9.86	12.87
At1g04690.1	DYT1	bHLH	1312979	-	-584	16.25	9.86	10.35
At1g04870.1	DYT1	bHLH	1377674	-	-1933	16.25	9.86	9.91
At1g04880.1	DYT1	bHLH	1377674	-	1510	16.25	9.86	9.91
At1g05040.1	DYT1	bHLH	1445508	+	2939	16.25	9.86	10.33
At1g05040.1	DYT1	bHLH	1445667	+	2780	16.25	9.86	10.33
At1g05370.1	DYT1	bHLH	1569434	+	2845	16.25	9.86	11.7
At1g05370.1	DYT1	bHLH	1569434	-	2845	16.25	9.86	11.4
At1g05380.1	DYT1	bHLH	1575967	-	-895	16.25	9.86	11.37
At1g05540.1	DYT1	bHLH	1642990	-	3705	16.25	9.86	12.61
At1g05540.1	DYT1	bHLH	1642990	+	3705	16.25	9.86	10.86
At1g05550.1	DYT1	bHLH	1642990	+	757	16.25	9.86	12.61
At1g05550.1	DYT1	bHLH	1642990	-	757	16.25	9.86	10.86
At1g06135.1	DYT1	bHLH	1862846	-	650	16.25	9.86	11.19
At1g06137.1	DYT1	bHLH	1862846	+	903	16.25	9.86	11.19
At1g06148.1	DYT1	bHLH	1876370	+	1157	16.25	9.86	11.14
At1g06148.1	DYT1	bHLH	1876370	-	1157	16.25	9.86	10.84
At1g06148.1	DYT1	bHLH	1876535	+	992	16.25	9.86	11.14
At1g06148.1	DYT1	bHLH	1876535	-	992	16.25	9.86	10.84
At1g06148.1	DYT1	bHLH	1876705	+	822	16.25	9.86	11.14
At1g06148.1	DYT1	bHLH	1876705	-	822	16.25	9.86	10.84
At1g06148.1	DYT1	bHLH	1877678	+	-151	16.25	9.86	11.4
At1g06148.1	DYT1	bHLH	1877678	-	-151	16.25	9.86	13.15
At1g06350.1	DYT1	bHLH	1938730	-	-1912	16.25	9.86	10.92
At1g06360.1	DYT1	bHLH	1938730	-	1728	16.25	9.86	10.92
At1g06925.1	DYT1	bHLH	2130089	+	-1479	16.25	9.86	12.53
At1g06925.1	DYT1	bHLH	2130089	-	-1479	16.25	9.86	11.64
At1g06930.1	DYT1	bHLH	2130089	-	1247	16.25	9.86	12.53
At1g06930.1	DYT1	bHLH	2130089	+	1247	16.25	9.86	11.64
At1g07210.1	DYT1	bHLH	2218968	+	3746	16.25	9.86	11.23
At1g07220.1	DYT1	bHLH	2218968	-	505	16.25	9.86	11.23
At1g07290.1	DYT1	bHLH	2244358	+	69	16.25	9.86	10.57
At1g07300.1	DYT1	bHLH	2244358	+	2133	16.25	9.86	10.57
At1g07440.1	DYT1	bHLH	2288144	+	-417	16.25	9.86	10.27
At1g07450.1	DYT1	bHLH	2288144	+	1189	16.25	9.86	10.27
At1g07460.1	DYT1	bHLH	2292787	-	2589	16.25	9.86	10.62
At1g07460.1	DYT1	bHLH	2292787	+	2589	16.25	9.86	10.94
At1g07470.1	DYT1	bHLH	2292787	-	1333	16.25	9.86	10.62
At1g07470.1	DYT1	bHLH	2292787	+	1333	16.25	9.86	10.94
At1g07473.1	DYT1	bHLH	2292787	+	2699	16.25	9.86	10.62
At1g07473.1	DYT1	bHLH	2292787	-	2699	16.25	9.86	10.94
At1g07485.1	DYT1	bHLH	2302792	+	1420	16.25	9.86	10.21
At1g07490.1	DYT1	bHLH	2302792	-	-774	16.25	9.86	10.21
At1g07500.1	DYT1	bHLH	2302792	-	2236	16.25	9.86	10.21
At1g07670.1	DYT1	bHLH	2374907	+	-365	16.25	9.86	10.25
At1g07680.1	DYT1	bHLH	2374907	-	-1102	16.25	9.86	10.25
At1g07920.1	DYT1	bHLH	2454059	-	-784	16.25	9.86	9.89
At1g09080.1	DYT1	bHLH	2932019	-	-176	16.25	9.86	11.51
At1g09090.1	DYT1	bHLH	2932019	+	-722	16.25	9.86	11.51
At1g09415.1	DYT1	bHLH	3039474	-	-1064	16.25	9.86	10.33
At1g09420.1	DYT1	bHLH	3039474	-	2347	16.25	9.86	10.33
At1g09421.1	DYT1	bHLH	3039474	+	841	16.25	9.86	10.33
At1g09810.1	DYT1	bHLH	3185350	-	-1124	16.25	9.86	10.95
At1g09880.1	DYT1	bHLH	3211698	+	-43	16.25	9.86	12.61
At1g09880.1	DYT1	bHLH	3211698	-	-43	16.25	9.86	10.86
At1g10130.1	DYT1	bHLH	3310917	+	-15	16.25	9.86	9.86
At1g10160.1	DYT1	bHLH	3332435	-	3462	16.25	9.86	10.06
At1g10250.1	DYT1	bHLH	3362188	+	-1678	16.25	9.86	11.73
At1g10260.1	DYT1	bHLH	3362188	+	-939	16.25	9.86	11.73
At1g10270.1	DYT1	bHLH	3362188	-	-1318	16.25	9.86	11.73
At1g10350.1	DYT1	bHLH	3397030	+	-1973	16.25	9.86	12.06
At1g10350.1	DYT1	bHLH	3397030	-	-1973	16.25	9.86	10.03
At1g10360.1	DYT1	bHLH	3397030	+	-179	16.25	9.86	12.06
At1g10360.1	DYT1	bHLH	3397030	-	-179	16.25	9.86	10.03
At1g10370.1	DYT1	bHLH	3397030	+	1329	16.25	9.86	12.06
At1g10370.1	DYT1	bHLH	3397030	-	1329	16.25	9.86	10.03
At1g10390.1	DYT1	bHLH	3414547	+	-1703	16.25	9.86	10.33
At1g10400.1	DYT1	bHLH	3414547	+	1812	16.25	9.86	10.33
At1g10640.1	DYT1	bHLH	3517198	+	-223	16.25	9.86	10.62
At1g10640.1	DYT1	bHLH	3517198	-	-223	16.25	9.86	10.62
At1g11670.1	DYT1	bHLH	3929876	-	1700	16.25	9.86	11.51
At1g11690.1	DYT1	bHLH	3945168	+	3699	16.25	9.86	10.6
At1g11700.1	DYT1	bHLH	3945168	+	-569	16.25	9.86	10.6
At1g11880.1	DYT1	bHLH	4010659	+	-227	16.25	9.86	10.55
At1g11880.1	DYT1	bHLH	4010659	-	-227	16.25	9.86	12.75
At1g11890.1	DYT1	bHLH	4010659	-	-119	16.25	9.86	10.55
At1g11890.1	DYT1	bHLH	4010659	+	-119	16.25	9.86	12.75
At1g11980.1	DYT1	bHLH	4049009	-	3392	16.25	9.86	11.25
At1g11990.1	DYT1	bHLH	4049009	+	49	16.25	9.86	11.25
At1g13570.1	DYT1	bHLH	4644416	+	3	16.25	9.86	11.33
At1g13580.1	DYT1	bHLH	4644416	+	2434	16.25	9.86	11.33
At1g13930.1	DYT1	bHLH	4765021	+	3982	16.25	9.86	10.24
At1g13940.1	DYT1	bHLH	4765021	-	1725	16.25	9.86	10.24
At1g13980.1	DYT1	bHLH	4786953	-	-1603	16.25	9.86	10.33
At1g14010.1	DYT1	bHLH	4802717	-	-870	16.25	9.86	10.33
At1g14020.1	DYT1	bHLH	4802717	+	0	16.25	9.86	10.33
At1g14030.1	DYT1	bHLH	4808596	-	-1082	16.25	9.86	10.67
At1g14040.1	DYT1	bHLH	4808596	+	-1889	16.25	9.86	10.67
At1g14071.1	DYT1	bHLH	4822334	-	-1838	16.25	9.86	11.19
At1g14080.1	DYT1	bHLH	4822334	+	-191	16.25	9.86	11.19
At1g14160.1	DYT1	bHLH	4843644	-	-1799	16.25	9.86	10.53
At1g14170.1	DYT1	bHLH	4843644	-	2163	16.25	9.86	10.53
At1g14510.1	DYT1	bHLH	4965651	+	-1228	16.25	9.86	11.22
At1g14518.1	DYT1	bHLH	4965651	+	1837	16.25	9.86	11.22
At1g15360.1	DYT1	bHLH	5282032	-	-1501	16.25	9.86	12.01
At1g15360.1	DYT1	bHLH	5282032	+	-1501	16.25	9.86	12.63
At1g15570.1	DYT1	bHLH	5360615	-	-1389	16.25	9.86	11.34
At1g15750.1	DYT1	bHLH	5421489	+	-864	16.25	9.86	11.68
At1g15750.1	DYT1	bHLH	5421489	-	-864	16.25	9.86	11.05
At1g15757.1	DYT1	bHLH	5421489	+	3082	16.25	9.86	11.68
At1g15757.1	DYT1	bHLH	5421489	-	3082	16.25	9.86	11.05
At1g15800.1	DYT1	bHLH	5442186	-	1493	16.25	9.86	12.33
At1g16570.1	DYT1	bHLH	5673743	+	-150	16.25	9.86	11.15
At1g16590.1	DYT1	bHLH	5673743	-	-45	16.25	9.86	11.15
At1g16600.1	DYT1	bHLH	5673743	-	-1419	16.25	9.86	11.15
At1g16720.1	DYT1	bHLH	5724213	+	1132	16.25	9.86	10.35
At1g16730.1	DYT1	bHLH	5724213	-	3092	16.25	9.86	10.35
At1g17235.1	DYT1	bHLH	5898431	+	3087	16.25	9.86	10.59
At1g17240.1	DYT1	bHLH	5898431	-	279	16.25	9.86	10.59
At1g17410.1	DYT1	bHLH	5968101	-	1867	16.25	9.86	10.18
At1g17530.1	DYT1	bHLH	6030214	+	2590	16.25	9.86	10.11
At1g17540.1	DYT1	bHLH	6030214	-	2533	16.25	9.86	10.11
At1g17830.1	DYT1	bHLH	6139783	-	-1358	16.25	9.86	10.69
At1g18210.1	DYT1	bHLH	6269210	+	-389	16.25	9.86	10.35
At1g18220.1	DYT1	bHLH	6269210	+	590	16.25	9.86	10.35
At1g18720.1	DYT1	bHLH	6457259	-	2484	16.25	9.86	10.9
At1g19060.1	DYT1	bHLH	6582749	-	843	16.25	9.86	10.03
At1g19070.1	DYT1	bHLH	6582749	+	-1696	16.25	9.86	10.03
At1g19110.1	DYT1	bHLH	6601804	+	-313	16.25	9.86	10.8
At1g19130.1	DYT1	bHLH	6612093	+	-1489	16.25	9.86	10.01
At1g19140.1	DYT1	bHLH	6612093	+	414	16.25	9.86	10.01
At1g19150.1	DYT1	bHLH	6612093	-	-647	16.25	9.86	10.01
At1g19150.1	DYT1	bHLH	6615045	-	2305	16.25	9.86	11.24
At1g19160.1	DYT1	bHLH	6615045	+	160	16.25	9.86	11.24
At1g19170.1	DYT1	bHLH	6615045	-	-1589	16.25	9.86	11.24
At1g19600.1	DYT1	bHLH	6782736	-	3757	16.25	9.86	11.42
At1g19600.1	DYT1	bHLH	6782864	-	3885	16.25	9.86	10.11
At1g19610.1	DYT1	bHLH	6782736	+	-706	16.25	9.86	11.42
At1g19610.1	DYT1	bHLH	6782864	+	-834	16.25	9.86	10.11
At1g19620.1	DYT1	bHLH	6782736	-	-1275	16.25	9.86	11.42
At1g19620.1	DYT1	bHLH	6782864	-	-1147	16.25	9.86	10.11
At1g20000.1	DYT1	bHLH	6939363	-	-1706	16.25	9.86	11.42
At1g20010.1	DYT1	bHLH	6939363	-	1210	16.25	9.86	11.42
At1g20015.1	DYT1	bHLH	6939363	+	-1913	16.25	9.86	11.42
At1g20330.1	DYT1	bHLH	7036981	+	3168	16.25	9.86	10.33
At1g20330.1	DYT1	bHLH	7038397	-	1752	16.25	9.86	11.79
At1g20370.1	DYT1	bHLH	7054371	-	-740	16.25	9.86	10.89
At1g20490.1	DYT1	bHLH	7099905	+	-220	16.25	9.86	10.36
At1g20500.1	DYT1	bHLH	7099905	+	3000	16.25	9.86	10.36
At1g21510.1	DYT1	bHLH	7534568	+	-1950	16.25	9.86	10.22
At1g21510.1	DYT1	bHLH	7534568	-	-1950	16.25	9.86	10.55
At1g21520.1	DYT1	bHLH	7534568	+	154	16.25	9.86	10.22
At1g21520.1	DYT1	bHLH	7534568	-	154	16.25	9.86	10.55
At1g21525.1	DYT1	bHLH	7534568	+	3070	16.25	9.86	10.22
At1g21525.1	DYT1	bHLH	7534568	-	3070	16.25	9.86	10.55
At1g21670.1	DYT1	bHLH	7611886	-	1499	16.25	9.86	9.99
At1g21680.1	DYT1	bHLH	7611886	-	-1108	16.25	9.86	9.99
At1g22460.1	DYT1	bHLH	7930640	-	6	16.25	9.86	11.99
At1g22470.1	DYT1	bHLH	7930640	-	2739	16.25	9.86	11.99
At1g22870.1	DYT1	bHLH	8089667	-	177	16.25	9.86	12.07
At1g22930.1	DYT1	bHLH	8116531	-	-797	16.25	9.86	10.33
At1g22950.1	DYT1	bHLH	8128106	+	-921	16.25	9.86	10.27
At1g22960.1	DYT1	bHLH	8128106	+	2125	16.25	9.86	10.27
At1g23500.1	DYT1	bHLH	8342887	-	3230	16.25	9.86	10.35
At1g23510.1	DYT1	bHLH	8342887	+	-252	16.25	9.86	10.35
At1g23520.1	DYT1	bHLH	8342887	+	1941	16.25	9.86	10.35
At1g24300.1	DYT1	bHLH	8616706	+	3703	16.25	9.86	11.78
At1g24300.1	DYT1	bHLH	8616706	-	3703	16.25	9.86	11.16
At1g24470.1	DYT1	bHLH	8675450	-	1406	16.25	9.86	11.18
At1g24470.1	DYT1	bHLH	8675450	+	1406	16.25	9.86	11.18
At1g24480.1	DYT1	bHLH	8675450	+	1697	16.25	9.86	11.18
At1g24480.1	DYT1	bHLH	8675450	-	1697	16.25	9.86	11.18
At1g25220.1	DYT1	bHLH	8839730	+	-242	16.25	9.86	10.35
At1g25230.1	DYT1	bHLH	8839730	+	2574	16.25	9.86	10.35
At1g25340.1	DYT1	bHLH	8886156	-	1088	16.25	9.86	10.32
At1g25450.1	DYT1	bHLH	8939973	-	401	16.25	9.86	10.25
At1g26190.1	DYT1	bHLH	9059842	+	1231	16.25	9.86	10.03
At1g26771.1	DYT1	bHLH	9265095	+	-1835	16.25	9.86	10.56
At1g26773.1	DYT1	bHLH	9265095	-	704	16.25	9.86	10.56
At1g26799.1	DYT1	bHLH	9285915	-	2055	16.25	9.86	12.46
At1g26800.1	DYT1	bHLH	9285915	+	396	16.25	9.86	12.46
At1g26940.1	DYT1	bHLH	9345673	-	2560	16.25	9.86	10.07
At1g27100.1	DYT1	bHLH	9412577	-	-1418	16.25	9.86	10.95
At1g27430.1	DYT1	bHLH	9523262	+	3653	16.25	9.86	11.78
At1g27430.1	DYT1	bHLH	9523262	-	3653	16.25	9.86	11.16
At1g27600.1	DYT1	bHLH	9605098	-	990	16.25	9.86	10.13
At1g27610.1	DYT1	bHLH	9605098	-	2466	16.25	9.86	10.13
At1g27860.1	DYT1	bHLH	9706168	+	57	16.25	9.86	9.89
At1g27870.1	DYT1	bHLH	9706168	+	1117	16.25	9.86	9.89
At1g27921.1	DYT1	bHLH	9731803	-	-1485	16.25	9.86	10.57
At1g27930.1	DYT1	bHLH	9731803	-	903	16.25	9.86	10.57
At1g28350.1	DYT1	bHLH	9945432	+	1409	16.25	9.86	10.38
At1g28370.1	DYT1	bHLH	9956704	+	222	16.25	9.86	11.72
At1g28370.1	DYT1	bHLH	9956704	-	222	16.25	9.86	12.34
At1g28480.1	DYT1	bHLH	10015168	-	-1109	16.25	9.86	10.35
At1g28490.1	DYT1	bHLH	10015168	+	-737	16.25	9.86	10.35
At1g28490.1	DYT1	bHLH	10018721	+	2816	16.25	9.86	9.89
At1g28500.1	DYT1	bHLH	10018721	+	44	16.25	9.86	9.89
