Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01360.1	E2Fb	E2F/DP	143657	-	1686	n.a.	n.a.	n.a.
At1g01370.1	E2Fb	E2F/DP	143657	-	93	n.a.	n.a.	n.a.
At1g01970.1	E2Fb	E2F/DP	341469	-	3178	n.a.	n.a.	n.a.
At1g01980.1	E2Fb	E2F/DP	341469	+	530	n.a.	n.a.	n.a.
At1g01990.1	E2Fb	E2F/DP	341469	+	2872	n.a.	n.a.	n.a.
At1g03070.1	E2Fb	E2F/DP	730083	+	148	n.a.	n.a.	n.a.
At1g03360.1	E2Fb	E2F/DP	826677	+	2140	n.a.	n.a.	n.a.
At1g03370.1	E2Fb	E2F/DP	826677	+	108	n.a.	n.a.	n.a.
At1g03530.1	E2Fb	E2F/DP	883321	+	70	n.a.	n.a.	n.a.
At1g03540.1	E2Fb	E2F/DP	883321	-	-461	n.a.	n.a.	n.a.
At1g03740.1	E2Fb	E2F/DP	933896	+	384	n.a.	n.a.	n.a.
At1g03743.1	E2Fb	E2F/DP	933896	-	3390	n.a.	n.a.	n.a.
At1g04100.1	E2Fb	E2F/DP	1062725	-	3220	n.a.	n.a.	n.a.
At1g04110.1	E2Fb	E2F/DP	1062725	+	1058	n.a.	n.a.	n.a.
At1g05055.1	E2Fb	E2F/DP	1452822	-	-1936	n.a.	n.a.	n.a.
At1g05060.1	E2Fb	E2F/DP	1452822	-	49	n.a.	n.a.	n.a.
At1g05065.1	E2Fb	E2F/DP	1452822	-	2397	n.a.	n.a.	n.a.
At1g08250.1	E2Fb	E2F/DP	2590747	+	-449	n.a.	n.a.	n.a.
At1g08250.1	E2Fb	E2F/DP	2590752	+	-454	n.a.	n.a.	n.a.
At1g08260.1	E2Fb	E2F/DP	2590747	-	-194	n.a.	n.a.	n.a.
At1g08260.1	E2Fb	E2F/DP	2590752	-	-189	n.a.	n.a.	n.a.
At1g08810.1	E2Fb	E2F/DP	2819656	+	742	n.a.	n.a.	n.a.
At1g08820.1	E2Fb	E2F/DP	2823512	-	1766	n.a.	n.a.	n.a.
At1g09420.1	E2Fb	E2F/DP	3042588	+	-767	n.a.	n.a.	n.a.
At1g09430.1	E2Fb	E2F/DP	3042588	-	590	n.a.	n.a.	n.a.
At1g09930.1	E2Fb	E2F/DP	3230281	+	-236	n.a.	n.a.	n.a.
At1g09932.1	E2Fb	E2F/DP	3230281	+	2830	n.a.	n.a.	n.a.
At1g11370.1	E2Fb	E2F/DP	3827421	-	3524	n.a.	n.a.	n.a.
At1g11370.1	E2Fb	E2F/DP	3827507	+	3438	n.a.	n.a.	n.a.
At1g11590.1	E2Fb	E2F/DP	3896401	-	3821	n.a.	n.a.	n.a.
At1g11592.1	E2Fb	E2F/DP	3896401	+	533	n.a.	n.a.	n.a.
At1g11595.1	E2Fb	E2F/DP	3896401	-	-1862	n.a.	n.a.	n.a.
At1g13060.1	E2Fb	E2F/DP	4455842	-	3573	n.a.	n.a.	n.a.
At1g13070.1	E2Fb	E2F/DP	4455842	-	367	n.a.	n.a.	n.a.
At1g13320.1	E2Fb	E2F/DP	4567979	-	-232	n.a.	n.a.	n.a.
At1g13330.1	E2Fb	E2F/DP	4567979	+	47	n.a.	n.a.	n.a.
At1g13340.1	E2Fb	E2F/DP	4567979	-	3136	n.a.	n.a.	n.a.
At1g15820.1	E2Fb	E2F/DP	5448496	+	-642	n.a.	n.a.	n.a.
At1g15825.1	E2Fb	E2F/DP	5448496	+	28	n.a.	n.a.	n.a.
At1g15830.1	E2Fb	E2F/DP	5448496	-	-225	n.a.	n.a.	n.a.
At1g16600.1	E2Fb	E2F/DP	5678571	-	3409	n.a.	n.a.	n.a.
At1g16610.1	E2Fb	E2F/DP	5678571	+	202	n.a.	n.a.	n.a.
At1g16620.1	E2Fb	E2F/DP	5678571	-	-1241	n.a.	n.a.	n.a.
At1g18130.1	E2Fb	E2F/DP	6236726	+	838	n.a.	n.a.	n.a.
At1g18130.1	E2Fb	E2F/DP	6236820	-	932	n.a.	n.a.	n.a.
At1g18190.1	E2Fb	E2F/DP	6263100	+	-1650	n.a.	n.a.	n.a.
At1g18200.1	E2Fb	E2F/DP	6263100	+	3830	n.a.	n.a.	n.a.
At1g18260.1	E2Fb	E2F/DP	6283896	-	-1800	n.a.	n.a.	n.a.
At1g18265.1	E2Fb	E2F/DP	6283896	-	-610	n.a.	n.a.	n.a.
At1g18370.1	E2Fb	E2F/DP	6324722	+	-909	n.a.	n.a.	n.a.
At1g18380.1	E2Fb	E2F/DP	6324722	-	-913	n.a.	n.a.	n.a.
At1g18730.1	E2Fb	E2F/DP	6462481	-	1891	n.a.	n.a.	n.a.
At1g18735.1	E2Fb	E2F/DP	6462481	+	-738	n.a.	n.a.	n.a.
At1g18740.1	E2Fb	E2F/DP	6462481	-	-1504	n.a.	n.a.	n.a.
At1g19180.1	E2Fb	E2F/DP	6624628	-	2543	n.a.	n.a.	n.a.
At1g19190.1	E2Fb	E2F/DP	6624628	-	761	n.a.	n.a.	n.a.
At1g19200.1	E2Fb	E2F/DP	6624628	+	1219	n.a.	n.a.	n.a.
At1g20650.1	E2Fb	E2F/DP	7158868	-	1648	n.a.	n.a.	n.a.
At1g22190.1	E2Fb	E2F/DP	7835935	+	164	n.a.	n.a.	n.a.
At1g22570.1	E2Fb	E2F/DP	7978485	+	77	n.a.	n.a.	n.a.
At1g23210.1	E2Fb	E2F/DP	8239574	-	-589	n.a.	n.a.	n.a.
At1g23210.1	E2Fb	E2F/DP	8239602	-	-561	n.a.	n.a.	n.a.
At1g23320.1	E2Fb	E2F/DP	8276809	+	-1470	n.a.	n.a.	n.a.
At1g23330.1	E2Fb	E2F/DP	8278341	-	3539	n.a.	n.a.	n.a.
At1g25360.1	E2Fb	E2F/DP	8897325	-	2910	n.a.	n.a.	n.a.
At1g25370.1	E2Fb	E2F/DP	8897325	+	1764	n.a.	n.a.	n.a.
At1g26520.1	E2Fb	E2F/DP	9165417	-	470	n.a.	n.a.	n.a.
At1g26530.1	E2Fb	E2F/DP	9165417	+	-460	n.a.	n.a.	n.a.
At1g30150.1	E2Fb	E2F/DP	10602772	+	610	n.a.	n.a.	n.a.
