Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01010.1	ETT(1)	ARF	6977	+	3346	11.25	6.77	8.8
At1g01010.1	ETT(1)	ARF	2925	-	-706	11.25	6.77	7.15
At1g01020.1	ETT(1)	ARF	6977	-	1760	11.25	6.77	8.8
At1g01030.1	ETT(1)	ARF	11722	-	1992	11.25	6.77	9.1
At1g01030.1	ETT(1)	ARF	12391	-	1323	11.25	6.77	8.47
At1g01030.1	ETT(1)	ARF	12916	-	798	11.25	6.77	10.72
At1g01030.1	ETT(1)	ARF	12450	-	1264	11.25	6.77	7.57
At1g01030.1	ETT(1)	ARF	12897	-	817	11.25	6.77	9.35
At1g01050.1	ETT(1)	ARF	35017	+	-1864	11.25	6.77	10.07
At1g01060.1	ETT(1)	ARF	35017	+	2823	11.25	6.77	10.07
At1g01060.1	ETT(1)	ARF	38251	+	-411	11.25	6.77	8.67
At1g01070.1	ETT(1)	ARF	40423	+	521	11.25	6.77	8.61
At1g01070.1	ETT(1)	ARF	38251	+	2693	11.25	6.77	8.67
At1g01080.1	ETT(1)	ARF	45937	+	1082	11.25	6.77	8.47
At1g01080.1	ETT(1)	ARF	46871	-	148	11.25	6.77	7.13
At1g01080.1	ETT(1)	ARF	45818	+	1201	11.25	6.77	9.1
At1g01090.1	ETT(1)	ARF	45818	+	3468	11.25	6.77	9.1
At1g01090.1	ETT(1)	ARF	45937	+	3349	11.25	6.77	8.47
At1g01090.1	ETT(1)	ARF	46871	-	2415	11.25	6.77	7.13
At1g01140.1	ETT(1)	ARF	65852	+	1773	11.25	6.77	9.64
At1g01170.1	ETT(1)	ARF	76400	+	-1663	11.25	6.77	7.85
At1g01180.1	ETT(1)	ARF	76400	-	767	11.25	6.77	7.85
At1g01183.1	ETT(1)	ARF	76400	+	2632	11.25	6.77	7.85
At1g01183.1	ETT(1)	ARF	80053	-	-1021	11.25	6.77	8.57
