Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01080.1	DDF1	AP2/EREBP	43196	+	3823	12.65	8.52	10.49
At1g01090.1	DDF1	AP2/EREBP	50946	+	-1660	12.65	8.52	8.65
At1g01100.1	DDF1	AP2/EREBP	50946	+	162	12.65	8.52	8.65
At1g01110.1	DDF1	AP2/EREBP	50946	-	-1923	12.65	8.52	8.65
At1g01200.1	DDF1	AP2/EREBP	88592	+	-379	12.65	8.52	9.66
At1g01210.1	DDF1	AP2/EREBP	88592	-	-306	12.65	8.52	9.66
At1g01355.1	DDF1	AP2/EREBP	141973	+	3460	12.65	8.52	9.6
At1g01360.1	DDF1	AP2/EREBP	141973	+	2	12.65	8.52	9.6
At1g01370.1	DDF1	AP2/EREBP	141973	+	-1591	12.65	8.52	9.6
At1g01430.1	DDF1	AP2/EREBP	158768	-	-113	12.65	8.52	9.66
At1g01440.1	DDF1	AP2/EREBP	158768	-	3804	12.65	8.52	9.66
At1g01470.1	DDF1	AP2/EREBP	174141	-	-1193	12.65	8.52	9.6
At1g01471.1	DDF1	AP2/EREBP	174141	+	890	12.65	8.52	9.6
At1g01480.1	DDF1	AP2/EREBP	174141	+	-1641	12.65	8.52	9.6
At1g01500.1	DDF1	AP2/EREBP	186627	+	1494	12.65	8.52	8.91
At1g01510.1	DDF1	AP2/EREBP	189644	+	2433	12.65	8.52	10.05
At1g01510.1	DDF1	AP2/EREBP	186627	+	-584	12.65	8.52	8.91
At1g01520.1	DDF1	AP2/EREBP	189644	+	-952	12.65	8.52	10.05
At1g01540.1	DDF1	AP2/EREBP	195979	+	167	12.65	8.52	10.44
At1g01540.1	DDF1	AP2/EREBP	196023	-	211	12.65	8.52	9.05
At1g01560.1	DDF1	AP2/EREBP	203876	+	1740	12.65	8.52	10.74
At1g01570.1	DDF1	AP2/EREBP	203876	+	-1300	12.65	8.52	10.74
At1g01570.1	DDF1	AP2/EREBP	207882	-	2706	12.65	8.52	10.96
At1g01580.1	DDF1	AP2/EREBP	207882	-	-1513	12.65	8.52	10.96
At1g01590.1	DDF1	AP2/EREBP	216600	-	2371	12.65	8.52	10.69
At1g01590.1	DDF1	AP2/EREBP	216991	+	2762	12.65	8.52	8.73
At1g01590.1	DDF1	AP2/EREBP	217053	-	2824	12.65	8.52	8.91
At1g01600.1	DDF1	AP2/EREBP	217053	-	-1941	12.65	8.52	8.91
At1g01780.1	DDF1	AP2/EREBP	283918	-	1157	12.65	8.52	11.73
At1g01790.1	DDF1	AP2/EREBP	283918	-	-863	12.65	8.52	11.73
At1g01800.1	DDF1	AP2/EREBP	292436	+	-906	12.65	8.52	8.8
At1g01810.1	DDF1	AP2/EREBP	297573	-	2352	12.65	8.52	8.65
At1g01820.1	DDF1	AP2/EREBP	297573	+	547	12.65	8.52	8.65
At1g01830.1	DDF1	AP2/EREBP	297573	+	3156	12.65	8.52	8.65
At1g02020.1	DDF1	AP2/EREBP	354071	+	898	12.65	8.52	8.81
At1g02030.1	DDF1	AP2/EREBP	354071	+	3187	12.65	8.52	8.81
At1g02065.1	DDF1	AP2/EREBP	365507	-	298	12.65	8.52	10.69
At1g02070.1	DDF1	AP2/EREBP	370911	+	56	12.65	8.52	9.05
At1g02074.1	DDF1	AP2/EREBP	370911	-	-1153	12.65	8.52	9.05
At1g02074.1	DDF1	AP2/EREBP	373754	+	1690	12.65	8.52	8.8
At1g02080.1	DDF1	AP2/EREBP	373754	+	253	12.65	8.52	8.8
At1g02136.1	DDF1	AP2/EREBP	404353	+	-1392	12.65	8.52	9.66
At1g02140.1	DDF1	AP2/EREBP	404353	+	103	12.65	8.52	9.66
At1g02145.1	DDF1	AP2/EREBP	404353	-	-247	12.65	8.52	9.66
At1g02150.1	DDF1	AP2/EREBP	410802	+	2180	12.65	8.52	9.28
At1g02160.1	DDF1	AP2/EREBP	410802	+	54	12.65	8.52	9.28
At1g02170.1	DDF1	AP2/EREBP	410802	+	-977	12.65	8.52	9.28
At1g02220.1	DDF1	AP2/EREBP	430465	+	182	12.65	8.52	8.58
At1g02228.1	DDF1	AP2/EREBP	430465	+	3354	12.65	8.52	8.58
At1g02250.1	DDF1	AP2/EREBP	439503	-	56	12.65	8.52	9.28
At1g02260.1	DDF1	AP2/EREBP	439503	-	3374	12.65	8.52	9.28
At1g02300.1	DDF1	AP2/EREBP	454745	+	1457	12.65	8.52	8.76
At1g02305.1	DDF1	AP2/EREBP	454745	+	-943	12.65	8.52	8.76
At1g02391.1	DDF1	AP2/EREBP	485739	+	-1820	12.65	8.52	10.89
At1g02391.1	DDF1	AP2/EREBP	485193	-	-1274	12.65	8.52	10.05
At1g02400.1	DDF1	AP2/EREBP	485739	-	-1062	12.65	8.52	10.89
At1g02400.1	DDF1	AP2/EREBP	489214	+	2413	12.65	8.52	11.51
At1g02400.1	DDF1	AP2/EREBP	485193	+	-1608	12.65	8.52	10.05
At1g02405.1	DDF1	AP2/EREBP	489214	-	1291	12.65	8.52	11.51
At1g02410.1	DDF1	AP2/EREBP	489214	+	-1711	12.65	8.52	11.51
At1g02470.1	DDF1	AP2/EREBP	511024	-	2600	12.65	8.52	10.96
At1g02680.1	DDF1	AP2/EREBP	581890	+	1265	12.65	8.52	10.19
At1g02680.1	DDF1	AP2/EREBP	580526	+	-99	12.65	8.52	9.58
At1g02880.1	DDF1	AP2/EREBP	641712	+	2809	12.65	8.52	9.28
At1g03110.1	DDF1	AP2/EREBP	753104	+	3858	12.65	8.52	11.97
At1g03120.1	DDF1	AP2/EREBP	753104	+	833	12.65	8.52	11.97
At1g03130.1	DDF1	AP2/EREBP	753104	-	1094	12.65	8.52	11.97
At1g03180.1	DDF1	AP2/EREBP	775127	+	1716	12.65	8.52	8.65
At1g03180.1	DDF1	AP2/EREBP	775129	-	1718	12.65	8.52	9.81
At1g03190.1	DDF1	AP2/EREBP	775129	-	-398	12.65	8.52	9.81
At1g03190.1	DDF1	AP2/EREBP	775127	+	-400	12.65	8.52	8.65
At1g03200.1	DDF1	AP2/EREBP	784504	+	3902	12.65	8.52	10.24
At1g03210.1	DDF1	AP2/EREBP	784504	+	1556	12.65	8.52	10.24
At1g03630.1	DDF1	AP2/EREBP	910376	-	2735	12.65	8.52	10.49
At1g03640.1	DDF1	AP2/EREBP	910376	+	-494	12.65	8.52	10.49
At1g03650.1	DDF1	AP2/EREBP	910376	+	816	12.65	8.52	10.49
At1g03687.1	DDF1	AP2/EREBP	920716	-	2417	12.65	8.52	8.98
At1g03700.1	DDF1	AP2/EREBP	920716	-	-234	12.65	8.52	8.98
At1g03800.1	DDF1	AP2/EREBP	958757	-	-760	12.65	8.52	9.35
At1g03810.1	DDF1	AP2/EREBP	958757	+	-1	12.65	8.52	9.35
At1g03820.1	DDF1	AP2/EREBP	958757	-	1970	12.65	8.52	9.35
At1g03830.1	DDF1	AP2/EREBP	967985	+	-1364	12.65	8.52	11.51
At1g03840.1	DDF1	AP2/EREBP	967985	+	2144	12.65	8.52	11.51
At1g03860.1	DDF1	AP2/EREBP	982831	-	-947	12.65	8.52	9.81
At1g03870.1	DDF1	AP2/EREBP	982831	-	708	12.65	8.52	9.81
At1g03900.1	DDF1	AP2/EREBP	993403	+	2265	12.65	8.52	9.58
At1g03905.1	DDF1	AP2/EREBP	993403	+	4	12.65	8.52	9.58
At1g04020.1	DDF1	AP2/EREBP	1040502	+	3966	12.65	8.52	10.24
At1g04030.1	DDF1	AP2/EREBP	1040502	+	-15	12.65	8.52	10.24
At1g04040.1	DDF1	AP2/EREBP	1040502	-	3361	12.65	8.52	10.24
At1g04040.1	DDF1	AP2/EREBP	1044880	-	-1017	12.65	8.52	9.56
At1g04120.1	DDF1	AP2/EREBP	1068477	-	2449	12.65	8.52	11.49
At1g04120.1	DDF1	AP2/EREBP	1069423	+	1503	12.65	8.52	9.66
At1g04171.1	DDF1	AP2/EREBP	1102334	-	-1727	12.65	8.52	11.51
