Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g03840.1	ANT	AP2/EREBP	970781	-	-652	18.39	11.06	11.07
At1g05840.1	ANT	AP2/EREBP	1767464	-	-1184	18.39	11.06	12.34
At1g05850.1	ANT	AP2/EREBP	1767464	-	1230	18.39	11.06	12.34
At1g05860.1	ANT	AP2/EREBP	1767464	+	-1549	18.39	11.06	12.34
At1g06200.1	ANT	AP2/EREBP	1897738	+	-804	18.39	11.06	12.01
At1g06210.1	ANT	AP2/EREBP	1897738	-	536	18.39	11.06	12.01
At1g07100.1	ANT	AP2/EREBP	2179885	+	2001	18.39	11.06	11.34
At1g08135.1	ANT	AP2/EREBP	2551582	-	-112	18.39	11.06	13.02
At1g08140.1	ANT	AP2/EREBP	2551582	-	3576	18.39	11.06	13.02
At1g08500.1	ANT	AP2/EREBP	2691554	+	2535	18.39	11.06	11.47
At1g08510.1	ANT	AP2/EREBP	2691554	-	2826	18.39	11.06	11.47
At1g09486.1	ANT	AP2/EREBP	3064863	-	-1130	18.39	11.06	11.29
At1g09490.1	ANT	AP2/EREBP	3064863	+	737	18.39	11.06	11.29
At1g09500.1	ANT	AP2/EREBP	3064863	+	-1892	18.39	11.06	11.29
At1g09950.1	ANT	AP2/EREBP	3242338	+	-704	18.39	11.06	11.42
At1g09960.1	ANT	AP2/EREBP	3242338	-	-1877	18.39	11.06	11.42
At1g11000.1	ANT	AP2/EREBP	3674376	-	1603	18.39	11.06	11.67
At1g13150.1	ANT	AP2/EREBP	4484866	+	-1173	18.39	11.06	11.74
At1g13160.1	ANT	AP2/EREBP	4484866	-	285	18.39	11.06	11.74
At1g14110.1	ANT	AP2/EREBP	4832734	+	2437	18.39	11.06	11.36
At1g14120.1	ANT	AP2/EREBP	4832734	-	2352	18.39	11.06	11.36
At1g14320.1	ANT	AP2/EREBP	4891703	+	3494	18.39	11.06	11.82
At1g14330.1	ANT	AP2/EREBP	4891703	-	543	18.39	11.06	11.82
At1g15300.1	ANT	AP2/EREBP	5268071	-	526	18.39	11.06	13.13
At1g15310.1	ANT	AP2/EREBP	5268071	-	3982	18.39	11.06	13.13
At1g16070.1	ANT	AP2/EREBP	5513956	+	-66	18.39	11.06	12.24
At1g16080.1	ANT	AP2/EREBP	5513956	-	-355	18.39	11.06	12.24
At1g16630.1	ANT	AP2/EREBP	5684599	+	261	18.39	11.06	11.1
At1g16640.1	ANT	AP2/EREBP	5684599	-	-1997	18.39	11.06	11.1
At1g17400.1	ANT	AP2/EREBP	5962526	-	-52	18.39	11.06	14.5
At1g17570.1	ANT	AP2/EREBP	6040542	+	1792	18.39	11.06	12.44
