Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g02070.1	ANAC055	NAC	371035	+	-68	n.a.	n.a.	n.a.
At1g02074.1	ANAC055	NAC	371035	-	-1029	n.a.	n.a.	n.a.
At1g02310.1	ANAC055	NAC	460312	+	384	n.a.	n.a.	n.a.
At1g02320.1	ANAC055	NAC	460312	-	-1516	n.a.	n.a.	n.a.
At1g02770.1	ANAC055	NAC	608565	-	-1872	n.a.	n.a.	n.a.
At1g02780.1	ANAC055	NAC	608565	-	900	n.a.	n.a.	n.a.
At1g02790.1	ANAC055	NAC	608565	-	3759	n.a.	n.a.	n.a.
At1g10170.1	ANAC055	NAC	3335252	-	2241	n.a.	n.a.	n.a.
At1g11440.1	ANAC055	NAC	3852610	+	3250	n.a.	n.a.	n.a.
At1g11450.1	ANAC055	NAC	3852610	+	-633	n.a.	n.a.	n.a.
At1g12294.1	ANAC055	NAC	4183510	-	-1213	n.a.	n.a.	n.a.
At1g12300.1	ANAC055	NAC	4183510	-	2612	n.a.	n.a.	n.a.
At1g13890.1	ANAC055	NAC	4755068	+	3490	n.a.	n.a.	n.a.
At1g13900.1	ANAC055	NAC	4755068	-	509	n.a.	n.a.	n.a.
At1g13910.1	ANAC055	NAC	4755068	+	-713	n.a.	n.a.	n.a.
At1g14345.1	ANAC055	NAC	4901538	+	2398	n.a.	n.a.	n.a.
At1g16120.1	ANAC055	NAC	5525073	-	2440	n.a.	n.a.	n.a.
At1g16130.1	ANAC055	NAC	5525073	-	-412	n.a.	n.a.	n.a.
At1g17750.1	ANAC055	NAC	6105879	-	-770	n.a.	n.a.	n.a.
At1g26710.1	ANAC055	NAC	9235091	-	-1960	n.a.	n.a.	n.a.
At1g26720.1	ANAC055	NAC	9235091	-	-292	n.a.	n.a.	n.a.
At1g33920.1	ANAC055	NAC	12318925	-	-960	n.a.	n.a.	n.a.
At1g35320.1	ANAC055	NAC	12960159	-	2672	n.a.	n.a.	n.a.
At1g36560.1	ANAC055	NAC	13804437	+	-1418	n.a.	n.a.	n.a.
At1g36570.1	ANAC055	NAC	13804437	-	-704	n.a.	n.a.	n.a.
At1g40470.1	ANAC055	NAC	15443638	+	3027	n.a.	n.a.	n.a.
At1g42698.1	ANAC055	NAC	16063263	-	1630	n.a.	n.a.	n.a.
At1g43845.1	ANAC055	NAC	16617456	-	1475	n.a.	n.a.	n.a.
At1g52080.1	ANAC055	NAC	19375565	+	2765	n.a.	n.a.	n.a.
At1g52085.1	ANAC055	NAC	19375565	-	525	n.a.	n.a.	n.a.
At1g52600.1	ANAC055	NAC	19596463	+	2307	n.a.	n.a.	n.a.
At1g53450.1	ANAC055	NAC	19958436	-	-653	n.a.	n.a.	n.a.
At1g53460.1	ANAC055	NAC	19958436	-	1864	n.a.	n.a.	n.a.
At1g57550.1	ANAC055	NAC	21317433	+	-959	n.a.	n.a.	n.a.
At1g57680.1	ANAC055	NAC	21367762	+	631	n.a.	n.a.	n.a.
At1g60380.1	ANAC055	NAC	22252878	+	-1802	n.a.	n.a.	n.a.
At1g60390.1	ANAC055	NAC	22252878	+	423	n.a.	n.a.	n.a.
At1g62640.1	ANAC055	NAC	23195386	+	-507	n.a.	n.a.	n.a.
At1g66760.1	ANAC055	NAC	24907415	+	1774	n.a.	n.a.	n.a.
At1g66770.1	ANAC055	NAC	24907415	-	3484	n.a.	n.a.	n.a.
At1g71180.1	ANAC055	NAC	26838868	+	2871	n.a.	n.a.	n.a.
At1g71190.1	ANAC055	NAC	26838868	-	-174	n.a.	n.a.	n.a.
At1g71200.1	ANAC055	NAC	26838868	-	2102	n.a.	n.a.	n.a.
At1g71910.1	ANAC055	NAC	27071605	-	3011	n.a.	n.a.	n.a.
At1g71920.1	ANAC055	NAC	27071605	-	995	n.a.	n.a.	n.a.
At1g78390.1	ANAC055	NAC	29498362	+	-594	n.a.	n.a.	n.a.
