Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01040.1	RAP2.6(1)	AP2/EREBP	25860	+	2714	15.21	9.85	12
At1g01100.1	RAP2.6(1)	AP2/EREBP	52583	-	-1475	15.21	9.85	10.37
At1g01110.1	RAP2.6(1)	AP2/EREBP	52583	+	-286	15.21	9.85	10.37
At1g01170.1	RAP2.6(1)	AP2/EREBP	76441	+	-1704	15.21	9.85	12.9
At1g01180.1	RAP2.6(1)	AP2/EREBP	76441	-	808	15.21	9.85	12.9
At1g01183.1	RAP2.6(1)	AP2/EREBP	76441	+	2591	15.21	9.85	12.9
At1g01290.1	RAP2.6(1)	AP2/EREBP	117848	+	3562	15.21	9.85	11.07
At1g01300.1	RAP2.6(1)	AP2/EREBP	117848	+	905	15.21	9.85	11.07
At1g01305.1	RAP2.6(1)	AP2/EREBP	117848	+	-1549	15.21	9.85	11.07
At1g01320.1	RAP2.6(1)	AP2/EREBP	127392	-	2707	15.21	9.85	10.61
At1g01540.1	RAP2.6(1)	AP2/EREBP	196163	+	351	15.21	9.85	11.62
At1g01620.1	RAP2.6(1)	AP2/EREBP	226576	-	726	15.21	9.85	10.74
At1g01620.1	RAP2.6(1)	AP2/EREBP	226579	-	723	15.21	9.85	12
At1g01620.1	RAP2.6(1)	AP2/EREBP	226578	+	724	15.21	9.85	11.66
At1g01720.1	RAP2.6(1)	AP2/EREBP	269214	+	884	15.21	9.85	12.9
At1g01725.1	RAP2.6(1)	AP2/EREBP	269214	-	1561	15.21	9.85	12.9
At1g01910.1	RAP2.6(1)	AP2/EREBP	315821	-	81	15.21	9.85	11.62
At1g01920.1	RAP2.6(1)	AP2/EREBP	315821	+	-366	15.21	9.85	11.62
At1g01960.1	RAP2.6(1)	AP2/EREBP	337366	+	216	15.21	9.85	11.07
At1g01970.1	RAP2.6(1)	AP2/EREBP	337366	-	-925	15.21	9.85	11.07
At1g01990.1	RAP2.6(1)	AP2/EREBP	344011	-	330	15.21	9.85	14.29
At1g01990.1	RAP2.6(1)	AP2/EREBP	344014	-	327	15.21	9.85	14.29
At1g02000.1	RAP2.6(1)	AP2/EREBP	346343	+	531	15.21	9.85	10.29
At1g02000.1	RAP2.6(1)	AP2/EREBP	344011	+	-1801	15.21	9.85	14.29
At1g02000.1	RAP2.6(1)	AP2/EREBP	344014	+	-1798	15.21	9.85	14.29
At1g02010.1	RAP2.6(1)	AP2/EREBP	346343	+	-1548	15.21	9.85	10.29
At1g02065.1	RAP2.6(1)	AP2/EREBP	367035	+	1826	15.21	9.85	11.38
At1g02065.1	RAP2.6(1)	AP2/EREBP	366788	+	1579	15.21	9.85	12.33
At1g02065.1	RAP2.6(1)	AP2/EREBP	366791	+	1582	15.21	9.85	14.29
At1g02070.1	RAP2.6(1)	AP2/EREBP	367035	-	3932	15.21	9.85	11.38
At1g02100.1	RAP2.6(1)	AP2/EREBP	393104	+	3292	15.21	9.85	10.05
At1g02100.1	RAP2.6(1)	AP2/EREBP	392994	+	3182	15.21	9.85	11.1
At1g02110.1	RAP2.6(1)	AP2/EREBP	392994	+	55	15.21	9.85	11.1
At1g02110.1	RAP2.6(1)	AP2/EREBP	393104	+	165	15.21	9.85	10.05
At1g02150.1	RAP2.6(1)	AP2/EREBP	410819	-	2197	15.21	9.85	14.29
At1g02150.1	RAP2.6(1)	AP2/EREBP	410822	-	2200	15.21	9.85	10.26
At1g02160.1	RAP2.6(1)	AP2/EREBP	410819	-	71	15.21	9.85	14.29
At1g02160.1	RAP2.6(1)	AP2/EREBP	410822	-	74	15.21	9.85	10.26
At1g02170.1	RAP2.6(1)	AP2/EREBP	410819	-	-960	15.21	9.85	14.29
At1g02170.1	RAP2.6(1)	AP2/EREBP	410822	-	-957	15.21	9.85	10.26
At1g02230.1	RAP2.6(1)	AP2/EREBP	437045	+	-269	15.21	9.85	13.01
At1g02250.1	RAP2.6(1)	AP2/EREBP	437045	+	2514	15.21	9.85	13.01
At1g02350.1	RAP2.6(1)	AP2/EREBP	472325	+	2507	15.21	9.85	12.9
At1g02360.1	RAP2.6(1)	AP2/EREBP	472325	-	835	15.21	9.85	12.9
At1g02360.1	RAP2.6(1)	AP2/EREBP	474667	+	-1507	15.21	9.85	12.9
At1g02370.1	RAP2.6(1)	AP2/EREBP	474667	-	167	15.21	9.85	12.9
At1g02530.1	RAP2.6(1)	AP2/EREBP	529847	-	52	15.21	9.85	10.74
At1g02540.1	RAP2.6(1)	AP2/EREBP	536783	-	-1084	15.21	9.85	10.26
At1g02550.1	RAP2.6(1)	AP2/EREBP	536783	+	300	15.21	9.85	10.26
At1g02560.1	RAP2.6(1)	AP2/EREBP	536783	+	-1077	15.21	9.85	10.26
At1g02610.1	RAP2.6(1)	AP2/EREBP	557142	+	-1288	15.21	9.85	10.77
At1g02620.1	RAP2.6(1)	AP2/EREBP	557142	-	50	15.21	9.85	10.77
At1g02640.1	RAP2.6(1)	AP2/EREBP	564513	-	308	15.21	9.85	11.08
At1g02650.1	RAP2.6(1)	AP2/EREBP	570360	-	1656	15.21	9.85	11.05
At1g02680.1	RAP2.6(1)	AP2/EREBP	581103	-	478	15.21	9.85	11.65
At1g02680.1	RAP2.6(1)	AP2/EREBP	582483	+	1858	15.21	9.85	10.73
At1g02690.1	RAP2.6(1)	AP2/EREBP	582483	+	-1777	15.21	9.85	10.73
At1g02700.1	RAP2.6(1)	AP2/EREBP	588691	-	362	15.21	9.85	12.9
At1g02710.1	RAP2.6(1)	AP2/EREBP	588691	+	1305	15.21	9.85	12.9
At1g02740.1	RAP2.6(1)	AP2/EREBP	601997	+	41	15.21	9.85	14.29
At1g02750.1	RAP2.6(1)	AP2/EREBP	601997	-	-500	15.21	9.85	14.29
At1g02810.1	RAP2.6(1)	AP2/EREBP	619132	+	867	15.21	9.85	13.05
At1g02810.1	RAP2.6(1)	AP2/EREBP	619131	-	866	15.21	9.85	15.21
At1g02813.1	RAP2.6(1)	AP2/EREBP	619131	-	-1547	15.21	9.85	15.21
At1g02813.1	RAP2.6(1)	AP2/EREBP	619132	+	-1546	15.21	9.85	13.05
At1g02816.1	RAP2.6(1)	AP2/EREBP	624115	-	2654	15.21	9.85	11.08
At1g02820.1	RAP2.6(1)	AP2/EREBP	624115	+	360	15.21	9.85	11.08
At1g02830.1	RAP2.6(1)	AP2/EREBP	624115	+	1493	15.21	9.85	11.08
At1g02890.1	RAP2.6(1)	AP2/EREBP	651529	-	377	15.21	9.85	12.9
At1g02890.1	RAP2.6(1)	AP2/EREBP	651824	-	82	15.21	9.85	12.33
At1g02890.1	RAP2.6(1)	AP2/EREBP	651532	-	374	15.21	9.85	11.41
At1g02900.1	RAP2.6(1)	AP2/EREBP	651529	-	2814	15.21	9.85	12.9
At1g02900.1	RAP2.6(1)	AP2/EREBP	651824	-	2519	15.21	9.85	12.33
At1g02900.1	RAP2.6(1)	AP2/EREBP	651532	-	2811	15.21	9.85	11.41
At1g03040.1	RAP2.6(1)	AP2/EREBP	706323	-	308	15.21	9.85	10.7
At1g03050.1	RAP2.6(1)	AP2/EREBP	709698	+	1972	15.21	9.85	12.54
At1g03050.1	RAP2.6(1)	AP2/EREBP	706323	+	-1403	15.21	9.85	10.7
At1g03055.1	RAP2.6(1)	AP2/EREBP	709698	-	2105	15.21	9.85	12.54
