Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01880.1	AtMYB15	MYB	309789	+	-798	17.49	11.85	12.13
At1g01890.1	AtMYB15	MYB	309789	+	-442	17.49	11.85	12.13
At1g01900.1	AtMYB15	MYB	309789	-	-527	17.49	11.85	12.13
At1g02130.1	AtMYB15	MYB	400400	-	1482	17.49	11.85	11.91
At1g02136.1	AtMYB15	MYB	400400	-	2561	17.49	11.85	11.91
At1g04180.1	AtMYB15	MYB	1105060	+	438	17.49	11.85	12.49
At1g04190.1	AtMYB15	MYB	1105060	-	3654	17.49	11.85	12.49
At1g04910.1	AtMYB15	MYB	1392714	+	-1528	17.49	11.85	11.97
At1g04920.1	AtMYB15	MYB	1392714	+	3149	17.49	11.85	11.97
At1g05100.1	AtMYB15	MYB	1471684	-	2075	17.49	11.85	13.18
At1g05370.1	AtMYB15	MYB	1569676	-	2603	17.49	11.85	12.82
At1g09310.1	AtMYB15	MYB	3011829	-	2772	17.49	11.85	13.05
At1g09320.1	AtMYB15	MYB	3011829	+	536	17.49	11.85	13.05
At1g09330.1	AtMYB15	MYB	3011829	+	3264	17.49	11.85	13.05
At1g11130.1	AtMYB15	MYB	3723844	+	987	17.49	11.85	12.01
At1g13390.1	AtMYB15	MYB	4595376	-	-1696	17.49	11.85	11.96
At1g14470.1	AtMYB15	MYB	4957176	+	3101	17.49	11.85	12.36
At1g14480.1	AtMYB15	MYB	4957176	+	924	17.49	11.85	12.36
At1g14490.1	AtMYB15	MYB	4957176	-	2144	17.49	11.85	12.36
At1g14590.1	AtMYB15	MYB	5000615	+	23	17.49	11.85	12.95
At1g14600.1	AtMYB15	MYB	5000615	+	2750	17.49	11.85	12.95
At1g17800.1	AtMYB15	MYB	6131405	-	2589	17.49	11.85	11.97
At1g17810.1	AtMYB15	MYB	6131405	-	1387	17.49	11.85	11.97
At1g17820.1	AtMYB15	MYB	6131405	+	3933	17.49	11.85	11.97
At1g20270.1	AtMYB15	MYB	7023163	-	-106	17.49	11.85	12.26
At1g20280.1	AtMYB15	MYB	7023163	+	-656	17.49	11.85	12.26
At1g20330.1	AtMYB15	MYB	7040980	+	-831	17.49	11.85	14.43
At1g20340.1	AtMYB15	MYB	7040980	+	2373	17.49	11.85	14.43
At1g22540.1	AtMYB15	MYB	7964422	+	391	17.49	11.85	14.68
At1g25250.1	AtMYB15	MYB	8850936	-	1400	17.49	11.85	12.49
At1g26240.1	AtMYB15	MYB	9081001	+	-1438	17.49	11.85	12.26
At1g27420.1	AtMYB15	MYB	9522350	-	3255	17.49	11.85	13.34
At1g27900.1	AtMYB15	MYB	9721511	-	-956	17.49	11.85	14.15
At1g27910.1	AtMYB15	MYB	9721511	-	3190	17.49	11.85	14.15
At1g31620.1	AtMYB15	MYB	11318583	+	1661	17.49	11.85	14.05
At1g31630.1	AtMYB15	MYB	11318583	-	945	17.49	11.85	14.05
At1g31640.1	AtMYB15	MYB	11322747	-	1410	17.49	11.85	14.05
At1g34010.1	AtMYB15	MYB	12361673	-	-504	17.49	11.85	13.26
At1g36305.1	AtMYB15	MYB	13662828	+	936	17.49	11.85	12.32
At1g36650.1	AtMYB15	MYB	13857845	+	-959	17.49	11.85	12.95
At1g39510.1	AtMYB15	MYB	14667610	-	-1052	17.49	11.85	12.26
At1g39511.1	AtMYB15	MYB	14667610	-	2536	17.49	11.85	12.26
At1g40070.1	AtMYB15	MYB	14860686	-	1665	17.49	11.85	12.26
At1g40071.1	AtMYB15	MYB	14866984	-	377	17.49	11.85	12.26
At1g42816.1	AtMYB15	MYB	16107678	-	163	17.49	11.85	14.22
At1g44740.1	AtMYB15	MYB	16891340	-	1496	17.49	11.85	13.12
At1g45020.1	AtMYB15	MYB	17030569	-	591	17.49	11.85	13.01
At1g45030.1	AtMYB15	MYB	17030569	-	1466	17.49	11.85	13.01
At1g45140.1	AtMYB15	MYB	17074166	-	2830	17.49	11.85	12.14
At1g45616.1	AtMYB15	MYB	17187792	-	1182	17.49	11.85	12
At1g47250.1	AtMYB15	MYB	17322901	+	1284	17.49	11.85	12.52
At1g47260.1	AtMYB15	MYB	17322901	-	3023	17.49	11.85	12.52
At1g48010.1	AtMYB15	MYB	17714501	-	1828	17.49	11.85	12.3
At1g48095.1	AtMYB15	MYB	17766632	-	2821	17.49	11.85	12.1
At1g48598.1	AtMYB15	MYB	17970731	+	1199	17.49	11.85	13.21
At1g48600.1	AtMYB15	MYB	17970731	+	680	17.49	11.85	13.21
At1g48605.1	AtMYB15	MYB	17970731	-	3029	17.49	11.85	13.21
