Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01230.1	ABF1	bZIP	99440	-	1984	13.16	10.94	10.94
At1g01230.1	ABF1	bZIP	99401	+	1945	13.16	10.94	13.16
At1g01230.1	ABF1	bZIP	99441	+	1985	13.16	10.94	10.94
At1g01240.1	ABF1	bZIP	99401	+	-521	13.16	10.94	13.16
At1g01240.1	ABF1	bZIP	99440	-	-482	13.16	10.94	10.94
At1g01240.1	ABF1	bZIP	99441	+	-481	13.16	10.94	10.94
At1g01280.1	ABF1	bZIP	113554	-	1291	13.16	10.94	10.94
At1g01280.1	ABF1	bZIP	113555	+	1292	13.16	10.94	10.94
At1g01290.1	ABF1	bZIP	113555	+	-731	13.16	10.94	10.94
At1g01290.1	ABF1	bZIP	118087	-	3801	13.16	10.94	10.94
At1g01290.1	ABF1	bZIP	113554	-	-732	13.16	10.94	10.94
At1g01290.1	ABF1	bZIP	118088	+	3802	13.16	10.94	10.94
At1g01300.1	ABF1	bZIP	118268	-	1325	13.16	10.94	10.94
At1g01300.1	ABF1	bZIP	118087	-	1144	13.16	10.94	10.94
At1g01300.1	ABF1	bZIP	118088	+	1145	13.16	10.94	10.94
At1g01305.1	ABF1	bZIP	118268	-	-1129	13.16	10.94	10.94
At1g01305.1	ABF1	bZIP	118087	-	-1310	13.16	10.94	10.94
At1g01305.1	ABF1	bZIP	118088	+	-1309	13.16	10.94	10.94
At1g01310.1	ABF1	bZIP	118268	-	-1886	13.16	10.94	10.94
At1g01355.1	ABF1	bZIP	140378	+	1865	13.16	10.94	10.94
At1g01360.1	ABF1	bZIP	140378	+	-1593	13.16	10.94	10.94
At1g01500.1	ABF1	bZIP	185756	-	623	13.16	10.94	10.94
At1g01500.1	ABF1	bZIP	185757	+	624	13.16	10.94	10.94
At1g01510.1	ABF1	bZIP	185757	+	-1454	13.16	10.94	10.94
At1g01510.1	ABF1	bZIP	185756	-	-1455	13.16	10.94	10.94
At1g01570.1	ABF1	bZIP	207893	-	2717	13.16	10.94	10.94
At1g01580.1	ABF1	bZIP	207893	-	-1502	13.16	10.94	10.94
At1g01600.1	ABF1	bZIP	220226	+	1232	13.16	10.94	13.16
At1g01600.1	ABF1	bZIP	220362	+	1368	13.16	10.94	13.16
At1g01610.1	ABF1	bZIP	220362	-	3978	13.16	10.94	13.16
At1g01720.1	ABF1	bZIP	268278	+	-52	13.16	10.94	10.94
At1g01720.1	ABF1	bZIP	268277	-	-53	13.16	10.94	10.94
At1g01725.1	ABF1	bZIP	268278	-	2497	13.16	10.94	10.94
At1g01725.1	ABF1	bZIP	268277	+	2498	13.16	10.94	10.94
At1g01830.1	ABF1	bZIP	302629	+	-1900	13.16	10.94	13.16
At1g01840.1	ABF1	bZIP	302629	-	-908	13.16	10.94	13.16
At1g01860.1	ABF1	bZIP	302629	+	3658	13.16	10.94	13.16
At1g02020.1	ABF1	bZIP	356911	+	-1942	13.16	10.94	10.94
At1g02030.1	ABF1	bZIP	356911	+	347	13.16	10.94	10.94
At1g02040.1	ABF1	bZIP	356911	+	2167	13.16	10.94	10.94
At1g02065.1	ABF1	bZIP	368111	+	2902	13.16	10.94	10.94
At1g02070.1	ABF1	bZIP	368111	-	2856	13.16	10.94	10.94
At1g02100.1	ABF1	bZIP	393178	-	3366	13.16	10.94	13.16
At1g02110.1	ABF1	bZIP	393178	-	239	13.16	10.94	13.16
At1g02640.1	ABF1	bZIP	567400	+	3195	13.16	10.94	13.16
At1g02650.1	ABF1	bZIP	567400	+	-1304	13.16	10.94	13.16
At1g02660.1	ABF1	bZIP	575653	-	-672	13.16	10.94	13.16
At1g02660.1	ABF1	bZIP	576409	+	-1428	13.16	10.94	10.94
At1g02670.1	ABF1	bZIP	575653	+	-393	13.16	10.94	13.16
At1g02670.1	ABF1	bZIP	576409	-	363	13.16	10.94	10.94
At1g02700.1	ABF1	bZIP	588265	+	-64	13.16	10.94	10.94
At1g02710.1	ABF1	bZIP	588265	-	1731	13.16	10.94	10.94
