Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g03180.1	bZIP19	bZIP	775128	-	1717	n.a.	n.a.	n.a.
At1g03180.1	bZIP19	bZIP	775128	+	1717	n.a.	n.a.	n.a.
At1g03190.1	bZIP19	bZIP	775128	+	-399	n.a.	n.a.	n.a.
At1g03190.1	bZIP19	bZIP	775128	-	-399	n.a.	n.a.	n.a.
At1g04190.1	bZIP19	bZIP	1110508	-	-1794	n.a.	n.a.	n.a.
At1g04200.1	bZIP19	bZIP	1110508	+	1027	n.a.	n.a.	n.a.
At1g05300.1	bZIP19	bZIP	1548671	+	-823	n.a.	n.a.	n.a.
At1g05300.1	bZIP19	bZIP	1548671	-	-823	n.a.	n.a.	n.a.
At1g05310.1	bZIP19	bZIP	1548671	-	3845	n.a.	n.a.	n.a.
At1g05310.1	bZIP19	bZIP	1548671	+	3845	n.a.	n.a.	n.a.
At1g05330.1	bZIP19	bZIP	1559995	+	1826	n.a.	n.a.	n.a.
At1g05340.1	bZIP19	bZIP	1559995	-	-93	n.a.	n.a.	n.a.
At1g07210.1	bZIP19	bZIP	2218333	-	3111	n.a.	n.a.	n.a.
At1g07210.1	bZIP19	bZIP	2218333	+	3111	n.a.	n.a.	n.a.
At1g07220.1	bZIP19	bZIP	2218333	+	1140	n.a.	n.a.	n.a.
At1g07220.1	bZIP19	bZIP	2218333	-	1140	n.a.	n.a.	n.a.
At1g08005.1	bZIP19	bZIP	2488518	+	3177	n.a.	n.a.	n.a.
At1g08005.1	bZIP19	bZIP	2488518	-	3177	n.a.	n.a.	n.a.
At1g08010.1	bZIP19	bZIP	2488518	-	-494	n.a.	n.a.	n.a.
At1g08010.1	bZIP19	bZIP	2488518	+	-494	n.a.	n.a.	n.a.
At1g09240.1	bZIP19	bZIP	2984944	-	61	n.a.	n.a.	n.a.
At1g09245.1	bZIP19	bZIP	2984944	+	2451	n.a.	n.a.	n.a.
At1g09390.1	bZIP19	bZIP	3032879	-	1674	n.a.	n.a.	n.a.
At1g09390.1	bZIP19	bZIP	3032879	+	1674	n.a.	n.a.	n.a.
At1g09400.1	bZIP19	bZIP	3032879	+	2159	n.a.	n.a.	n.a.
At1g09400.1	bZIP19	bZIP	3032879	-	2159	n.a.	n.a.	n.a.
At1g10960.1	bZIP19	bZIP	3667170	+	2784	n.a.	n.a.	n.a.
At1g10960.1	bZIP19	bZIP	3667170	-	2784	n.a.	n.a.	n.a.
At1g10960.1	bZIP19	bZIP	3667042	-	2656	n.a.	n.a.	n.a.
At1g10970.1	bZIP19	bZIP	3667042	+	97	n.a.	n.a.	n.a.
At1g10970.1	bZIP19	bZIP	3667170	+	-31	n.a.	n.a.	n.a.
At1g10970.1	bZIP19	bZIP	3667170	-	-31	n.a.	n.a.	n.a.
At1g10980.1	bZIP19	bZIP	3667042	+	2860	n.a.	n.a.	n.a.
At1g10980.1	bZIP19	bZIP	3667170	+	2732	n.a.	n.a.	n.a.
At1g10980.1	bZIP19	bZIP	3667170	-	2732	n.a.	n.a.	n.a.
At1g12640.1	bZIP19	bZIP	4306173	+	-377	n.a.	n.a.	n.a.
At1g12650.1	bZIP19	bZIP	4306173	-	116	n.a.	n.a.	n.a.
At1g15100.1	bZIP19	bZIP	5193848	+	350	n.a.	n.a.	n.a.
At1g16850.1	bZIP19	bZIP	5767220	-	-1576	n.a.	n.a.	n.a.
At1g16858.1	bZIP19	bZIP	5767220	+	-73	n.a.	n.a.	n.a.
At1g16860.1	bZIP19	bZIP	5767220	+	-73	n.a.	n.a.	n.a.
At1g17330.1	bZIP19	bZIP	5933204	-	3302	n.a.	n.a.	n.a.
At1g17330.1	bZIP19	bZIP	5933204	+	3302	n.a.	n.a.	n.a.
At1g17340.1	bZIP19	bZIP	5933204	-	-659	n.a.	n.a.	n.a.
At1g17340.1	bZIP19	bZIP	5933204	+	-659	n.a.	n.a.	n.a.
At1g20730.1	bZIP19	bZIP	7195575	-	1309	n.a.	n.a.	n.a.
At1g20730.1	bZIP19	bZIP	7195575	+	1309	n.a.	n.a.	n.a.
At1g22340.1	bZIP19	bZIP	7892438	-	-359	n.a.	n.a.	n.a.
At1g22340.1	bZIP19	bZIP	7892438	+	-359	n.a.	n.a.	n.a.
At1g22350.1	bZIP19	bZIP	7892438	-	2049	n.a.	n.a.	n.a.
At1g22350.1	bZIP19	bZIP	7892438	+	2049	n.a.	n.a.	n.a.
At1g23330.1	bZIP19	bZIP	8282054	+	-174	n.a.	n.a.	n.a.
At1g24170.1	bZIP19	bZIP	8560475	-	-1654	n.a.	n.a.	n.a.
At1g24170.1	bZIP19	bZIP	8560475	+	-1654	n.a.	n.a.	n.a.
At1g24180.1	bZIP19	bZIP	8560475	-	3009	n.a.	n.a.	n.a.
At1g24180.1	bZIP19	bZIP	8560475	+	3009	n.a.	n.a.	n.a.
At1g24260.1	bZIP19	bZIP	8596634	+	-736	n.a.	n.a.	n.a.
At1g24793.1	bZIP19	bZIP	8768938	-	1389	n.a.	n.a.	n.a.
At1g24793.1	bZIP19	bZIP	8768938	+	1389	n.a.	n.a.	n.a.
At1g24800.1	bZIP19	bZIP	8768938	+	-709	n.a.	n.a.	n.a.
At1g24800.1	bZIP19	bZIP	8768938	-	-709	n.a.	n.a.	n.a.
At1g24880.1	bZIP19	bZIP	8783317	+	1369	n.a.	n.a.	n.a.
At1g24880.1	bZIP19	bZIP	8783317	-	1369	n.a.	n.a.	n.a.
At1g24881.1	bZIP19	bZIP	8783317	-	-706	n.a.	n.a.	n.a.
At1g24881.1	bZIP19	bZIP	8783317	+	-706	n.a.	n.a.	n.a.
At1g25054.1	bZIP19	bZIP	8805846	+	1381	n.a.	n.a.	n.a.
At1g25054.1	bZIP19	bZIP	8805846	-	1381	n.a.	n.a.	n.a.
At1g25055.1	bZIP19	bZIP	8805846	+	-789	n.a.	n.a.	n.a.
At1g25055.1	bZIP19	bZIP	8805846	-	-789	n.a.	n.a.	n.a.
At1g25141.1	bZIP19	bZIP	8820224	-	2559	n.a.	n.a.	n.a.
At1g25141.1	bZIP19	bZIP	8820224	+	2559	n.a.	n.a.	n.a.
At1g25210.1	bZIP19	bZIP	8834602	+	1370	n.a.	n.a.	n.a.
At1g25210.1	bZIP19	bZIP	8834602	-	1370	n.a.	n.a.	n.a.
At1g25211.1	bZIP19	bZIP	8834602	-	-771	n.a.	n.a.	n.a.
At1g25211.1	bZIP19	bZIP	8834602	+	-771	n.a.	n.a.	n.a.
At1g27840.1	bZIP19	bZIP	9696817	+	-418	n.a.	n.a.	n.a.
