Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01380.1	EIN3	AP2/EREBP	148045	+	892	n.a.	n.a.	n.a.
At1g01390.1	EIN3	AP2/EREBP	148045	-	1761	n.a.	n.a.	n.a.
At1g01650.1	EIN3	AP2/EREBP	234685	-	3132	n.a.	n.a.	n.a.
At1g01790.1	EIN3	AP2/EREBP	286987	-	2206	n.a.	n.a.	n.a.
At1g02280.1	EIN3	AP2/EREBP	452244	-	-1819	n.a.	n.a.	n.a.
At1g02290.1	EIN3	AP2/EREBP	452244	-	493	n.a.	n.a.	n.a.
At1g02300.1	EIN3	AP2/EREBP	452244	+	-1044	n.a.	n.a.	n.a.
At1g02350.1	EIN3	AP2/EREBP	470120	-	302	n.a.	n.a.	n.a.
At1g02360.1	EIN3	AP2/EREBP	470120	+	3040	n.a.	n.a.	n.a.
At1g02620.1	EIN3	AP2/EREBP	560606	-	3514	n.a.	n.a.	n.a.
At1g02630.1	EIN3	AP2/EREBP	560606	+	1818	n.a.	n.a.	n.a.
At1g02780.1	EIN3	AP2/EREBP	609761	+	-296	n.a.	n.a.	n.a.
At1g02790.1	EIN3	AP2/EREBP	613971	-	-1647	n.a.	n.a.	n.a.
At1g02790.1	EIN3	AP2/EREBP	609761	+	2563	n.a.	n.a.	n.a.
At1g02800.1	EIN3	AP2/EREBP	613971	-	2220	n.a.	n.a.	n.a.
At1g03060.1	EIN3	AP2/EREBP	725990	+	901	n.a.	n.a.	n.a.
At1g03280.1	EIN3	AP2/EREBP	805674	-	2639	n.a.	n.a.	n.a.
At1g03290.1	EIN3	AP2/EREBP	805674	-	-1722	n.a.	n.a.	n.a.
At1g03400.1	EIN3	AP2/EREBP	845559	-	-1370	n.a.	n.a.	n.a.
At1g03410.1	EIN3	AP2/EREBP	845559	-	2123	n.a.	n.a.	n.a.
At1g03420.1	EIN3	AP2/EREBP	845559	+	-1104	n.a.	n.a.	n.a.
At1g03620.1	EIN3	AP2/EREBP	906204	+	-192	n.a.	n.a.	n.a.
At1g03630.1	EIN3	AP2/EREBP	906204	-	-1437	n.a.	n.a.	n.a.
At1g03730.1	EIN3	AP2/EREBP	930867	-	1028	n.a.	n.a.	n.a.
At1g04050.1	EIN3	AP2/EREBP	1046223	+	3073	n.a.	n.a.	n.a.
At1g04140.1	EIN3	AP2/EREBP	1082490	-	-1861	n.a.	n.a.	n.a.
At1g04150.1	EIN3	AP2/EREBP	1082490	-	1755	n.a.	n.a.	n.a.
At1g04171.1	EIN3	AP2/EREBP	1102073	-	-1466	n.a.	n.a.	n.a.
At1g04445.1	EIN3	AP2/EREBP	1206385	+	-958	n.a.	n.a.	n.a.
At1g04730.1	EIN3	AP2/EREBP	1332354	-	-1269	n.a.	n.a.	n.a.
At1g04750.1	EIN3	AP2/EREBP	1332354	-	1212	n.a.	n.a.	n.a.
At1g04790.1	EIN3	AP2/EREBP	1347218	-	2183	n.a.	n.a.	n.a.
At1g04800.1	EIN3	AP2/EREBP	1347218	+	2067	n.a.	n.a.	n.a.
At1g04945.1	EIN3	AP2/EREBP	1403264	+	2357	n.a.	n.a.	n.a.
At1g04990.1	EIN3	AP2/EREBP	1420656	+	1132	n.a.	n.a.	n.a.
At1g05230.1	EIN3	AP2/EREBP	1516462	+	785	n.a.	n.a.	n.a.
At1g05260.1	EIN3	AP2/EREBP	1532403	-	2637	n.a.	n.a.	n.a.
At1g05270.1	EIN3	AP2/EREBP	1532403	+	2006	n.a.	n.a.	n.a.
At1g05320.1	EIN3	AP2/EREBP	1554553	-	946	n.a.	n.a.	n.a.
At1g05690.1	EIN3	AP2/EREBP	1710161	+	3151	n.a.	n.a.	n.a.
At1g05700.1	EIN3	AP2/EREBP	1710161	+	366	n.a.	n.a.	n.a.
At1g06080.1	EIN3	AP2/EREBP	1843205	+	-362	n.a.	n.a.	n.a.
At1g06135.1	EIN3	AP2/EREBP	1864073	-	1877	n.a.	n.a.	n.a.
At1g06137.1	EIN3	AP2/EREBP	1864073	+	-324	n.a.	n.a.	n.a.
At1g06140.1	EIN3	AP2/EREBP	1864073	-	-722	n.a.	n.a.	n.a.
At1g06390.1	EIN3	AP2/EREBP	1949879	+	3092	n.a.	n.a.	n.a.
At1g06400.1	EIN3	AP2/EREBP	1949879	-	2905	n.a.	n.a.	n.a.
At1g06700.1	EIN3	AP2/EREBP	2055881	-	-602	n.a.	n.a.	n.a.
At1g06860.1	EIN3	AP2/EREBP	2109051	+	-1584	n.a.	n.a.	n.a.
At1g06870.1	EIN3	AP2/EREBP	2109051	-	459	n.a.	n.a.	n.a.
At1g06880.1	EIN3	AP2/EREBP	2109051	+	2166	n.a.	n.a.	n.a.
At1g06890.1	EIN3	AP2/EREBP	2114919	-	-319	n.a.	n.a.	n.a.
At1g07050.1	EIN3	AP2/EREBP	2165999	-	-761	n.a.	n.a.	n.a.
At1g07051.1	EIN3	AP2/EREBP	2165999	+	483	n.a.	n.a.	n.a.
At1g07060.1	EIN3	AP2/EREBP	2165999	-	2397	n.a.	n.a.	n.a.
At1g07280.1	EIN3	AP2/EREBP	2236884	-	-1202	n.a.	n.a.	n.a.
At1g07650.1	EIN3	AP2/EREBP	2363190	+	3368	n.a.	n.a.	n.a.
At1g08090.1	EIN3	AP2/EREBP	2523183	+	-890	n.a.	n.a.	n.a.
At1g08220.1	EIN3	AP2/EREBP	2584115	+	-795	n.a.	n.a.	n.a.
At1g08220.1	EIN3	AP2/EREBP	2584153	+	-833	n.a.	n.a.	n.a.
At1g08230.2	EIN3	AP2/EREBP	2584115	+	2626	n.a.	n.a.	n.a.
At1g08230.2	EIN3	AP2/EREBP	2584153	+	2588	n.a.	n.a.	n.a.
At1g08440.1	EIN3	AP2/EREBP	2664045	-	1021	n.a.	n.a.	n.a.
At1g08820.1	EIN3	AP2/EREBP	2826363	-	-1085	n.a.	n.a.	n.a.
At1g08830.1	EIN3	AP2/EREBP	2826363	+	-701	n.a.	n.a.	n.a.
At1g08860.1	EIN3	AP2/EREBP	2844183	-	2027	n.a.	n.a.	n.a.
At1g08870.1	EIN3	AP2/EREBP	2844183	+	2428	n.a.	n.a.	n.a.
At1g09245.1	EIN3	AP2/EREBP	2989114	+	-1719	n.a.	n.a.	n.a.
At1g09250.1	EIN3	AP2/EREBP	2989114	-	-266	n.a.	n.a.	n.a.
At1g09260.1	EIN3	AP2/EREBP	2994997	-	1591	n.a.	n.a.	n.a.
At1g09270.1	EIN3	AP2/EREBP	2994997	-	626	n.a.	n.a.	n.a.
At1g09640.1	EIN3	AP2/EREBP	3122477	+	2597	n.a.	n.a.	n.a.
At1g09645.1	EIN3	AP2/EREBP	3122477	+	-481	n.a.	n.a.	n.a.
At1g10070.1	EIN3	AP2/EREBP	3290553	+	2464	n.a.	n.a.	n.a.
At1g10130.1	EIN3	AP2/EREBP	3309663	-	-1269	n.a.	n.a.	n.a.
At1g10320.1	EIN3	AP2/EREBP	3386030	-	2345	n.a.	n.a.	n.a.
At1g10455.1	EIN3	AP2/EREBP	3441038	+	2482	n.a.	n.a.	n.a.
At1g10460.1	EIN3	AP2/EREBP	3441038	-	-717	n.a.	n.a.	n.a.
At1g10470.1	EIN3	AP2/EREBP	3441038	-	2920	n.a.	n.a.	n.a.
At1g10520.1	EIN3	AP2/EREBP	3466510	+	545	n.a.	n.a.	n.a.
At1g10600.1	EIN3	AP2/EREBP	3505490	+	1765	n.a.	n.a.	n.a.
At1g10610.1	EIN3	AP2/EREBP	3505490	+	-697	n.a.	n.a.	n.a.
At1g10717.1	EIN3	AP2/EREBP	3563587	+	1406	n.a.	n.a.	n.a.
At1g10720.1	EIN3	AP2/EREBP	3563587	+	634	n.a.	n.a.	n.a.
At1g10730.1	EIN3	AP2/EREBP	3563587	+	-1877	n.a.	n.a.	n.a.
At1g11240.1	EIN3	AP2/EREBP	3769956	-	-1662	n.a.	n.a.	n.a.
At1g11250.1	EIN3	AP2/EREBP	3769956	+	1232	n.a.	n.a.	n.a.
At1g11250.1	EIN3	AP2/EREBP	3771133	+	2409	n.a.	n.a.	n.a.
At1g11450.1	EIN3	AP2/EREBP	3853882	+	639	n.a.	n.a.	n.a.
At1g11550.1	EIN3	AP2/EREBP	3882524	-	995	n.a.	n.a.	n.a.
At1g11560.1	EIN3	AP2/EREBP	3882524	-	736	n.a.	n.a.	n.a.
At1g11570.1	EIN3	AP2/EREBP	3882524	-	-756	n.a.	n.a.	n.a.
At1g11640.1	EIN3	AP2/EREBP	3916557	-	-1857	n.a.	n.a.	n.a.
At1g11650.1	EIN3	AP2/EREBP	3916557	+	1783	n.a.	n.a.	n.a.
At1g11760.1	EIN3	AP2/EREBP	3974158	+	-872	n.a.	n.a.	n.a.
At1g11765.1	EIN3	AP2/EREBP	3974158	-	283	n.a.	n.a.	n.a.
At1g11770.1	EIN3	AP2/EREBP	3974158	-	-1520	n.a.	n.a.	n.a.
At1g12211.1	EIN3	AP2/EREBP	4144872	-	-760	n.a.	n.a.	n.a.
At1g12220.1	EIN3	AP2/EREBP	4144872	+	-61	n.a.	n.a.	n.a.
At1g12250.1	EIN3	AP2/EREBP	4162898	-	3635	n.a.	n.a.	n.a.
At1g12260.1	EIN3	AP2/EREBP	4162898	+	1587	n.a.	n.a.	n.a.
At1g12310.1	EIN3	AP2/EREBP	4188532	+	-478	n.a.	n.a.	n.a.
At1g12320.1	EIN3	AP2/EREBP	4188532	-	-821	n.a.	n.a.	n.a.
At1g12450.1	EIN3	AP2/EREBP	4245971	-	1665	n.a.	n.a.	n.a.
At1g12451.1	EIN3	AP2/EREBP	4245971	+	318	n.a.	n.a.	n.a.
At1g12460.1	EIN3	AP2/EREBP	4245971	-	-1276	n.a.	n.a.	n.a.
At1g12490.1	EIN3	AP2/EREBP	4263848	-	3067	n.a.	n.a.	n.a.
At1g12500.1	EIN3	AP2/EREBP	4263848	+	1194	n.a.	n.a.	n.a.
At1g12510.1	EIN3	AP2/EREBP	4263848	+	3211	n.a.	n.a.	n.a.
At1g12970.1	EIN3	AP2/EREBP	4426416	-	2778	n.a.	n.a.	n.a.
At1g13010.1	EIN3	AP2/EREBP	4443974	+	3762	n.a.	n.a.	n.a.
At1g13020.1	EIN3	AP2/EREBP	4443974	-	-292	n.a.	n.a.	n.a.
At1g13030.1	EIN3	AP2/EREBP	4443974	-	3430	n.a.	n.a.	n.a.
At1g13210.1	EIN3	AP2/EREBP	4511078	+	2857	n.a.	n.a.	n.a.
At1g13290.1	EIN3	AP2/EREBP	4551518	-	99	n.a.	n.a.	n.a.
At1g13320.1	EIN3	AP2/EREBP	4568665	-	-918	n.a.	n.a.	n.a.
At1g13330.1	EIN3	AP2/EREBP	4568665	+	733	n.a.	n.a.	n.a.
At1g13340.1	EIN3	AP2/EREBP	4568665	-	2450	n.a.	n.a.	n.a.
