Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01120.1	ARF1	ABI3/VP1	58460	-	707	14.23	9.05	10.76
At1g01150.1	ARF1	ABI3/VP1	70425	+	1713	14.23	9.05	10.47
At1g01160.1	ARF1	ABI3/VP1	70425	-	-1914	14.23	9.05	10.47
At1g01380.1	ARF1	ABI3/VP1	148997	+	1844	14.23	9.05	10.3
At1g01390.1	ARF1	ABI3/VP1	148997	-	809	14.23	9.05	10.3
At1g01400.1	ARF1	ABI3/VP1	148997	-	3213	14.23	9.05	10.3
At1g01400.1	ARF1	ABI3/VP1	153774	+	-1564	14.23	9.05	10.2
At1g01410.1	ARF1	ABI3/VP1	153774	-	661	14.23	9.05	10.2
At1g01420.1	ARF1	ABI3/VP1	153774	+	2237	14.23	9.05	10.2
At1g01430.1	ARF1	ABI3/VP1	158932	+	-277	14.23	9.05	9.19
At1g01440.1	ARF1	ABI3/VP1	158932	+	3640	14.23	9.05	9.19
At1g01448.1	ARF1	ABI3/VP1	165782	-	2351	14.23	9.05	10.34
At1g01450.1	ARF1	ABI3/VP1	165782	+	-265	14.23	9.05	10.34
At1g01453.1	ARF1	ABI3/VP1	165782	+	2060	14.23	9.05	10.34
At1g01460.1	ARF1	ABI3/VP1	171520	-	2797	14.23	9.05	12.98
At1g01470.1	ARF1	ABI3/VP1	171520	+	1428	14.23	9.05	12.98
At1g01470.1	ARF1	ABI3/VP1	173276	-	-328	14.23	9.05	9.65
At1g01471.1	ARF1	ABI3/VP1	173276	+	25	14.23	9.05	9.65
At1g01471.1	ARF1	ABI3/VP1	171520	-	-1731	14.23	9.05	12.98
At1g01510.1	ARF1	ABI3/VP1	190490	+	3279	14.23	9.05	10.97
At1g01520.1	ARF1	ABI3/VP1	190490	+	-106	14.23	9.05	10.97
At1g01530.1	ARF1	ABI3/VP1	190490	-	3180	14.23	9.05	10.97
At1g01590.1	ARF1	ABI3/VP1	214396	-	167	14.23	9.05	10.76
At1g01690.1	ARF1	ABI3/VP1	253095	-	3954	14.23	9.05	10.76
At1g01695.1	ARF1	ABI3/VP1	253095	-	148	14.23	9.05	10.76
At1g01710.1	ARF1	ABI3/VP1	265172	-	2344	14.23	9.05	9.2
At1g01720.1	ARF1	ABI3/VP1	268751	+	421	14.23	9.05	10.2
At1g01725.1	ARF1	ABI3/VP1	268751	-	2024	14.23	9.05	10.2
At1g02020.1	ARF1	ABI3/VP1	352893	-	2076	14.23	9.05	9.2
At1g02030.1	ARF1	ABI3/VP1	358763	+	-1505	14.23	9.05	11.72
At1g02040.1	ARF1	ABI3/VP1	358763	+	315	14.23	9.05	11.72
At1g02050.1	ARF1	ABI3/VP1	358763	+	1755	14.23	9.05	11.72
At1g02065.1	ARF1	ABI3/VP1	367822	+	2613	14.23	9.05	10.34
At1g02070.1	ARF1	ABI3/VP1	367822	-	3145	14.23	9.05	10.34
At1g02070.1	ARF1	ABI3/VP1	371711	-	-744	14.23	9.05	10.47
At1g02074.1	ARF1	ABI3/VP1	371711	+	-353	14.23	9.05	10.47
At1g02080.1	ARF1	ABI3/VP1	371711	+	-1790	14.23	9.05	10.47
At1g02160.1	ARF1	ABI3/VP1	412552	+	1804	14.23	9.05	10.3
At1g02170.1	ARF1	ABI3/VP1	412552	+	773	14.23	9.05	10.3
At1g02180.1	ARF1	ABI3/VP1	412552	-	2093	14.23	9.05	10.3
At1g02260.1	ARF1	ABI3/VP1	443337	+	-460	14.23	9.05	10.34
At1g02270.1	ARF1	ABI3/VP1	443337	+	2898	14.23	9.05	10.34
At1g02390.1	ARF1	ABI3/VP1	481753	-	901	14.23	9.05	10.2
At1g02390.1	ARF1	ABI3/VP1	483997	-	3145	14.23	9.05	9.76
At1g02391.1	ARF1	ABI3/VP1	483997	+	-78	14.23	9.05	9.76
At1g02391.1	ARF1	ABI3/VP1	481753	+	2166	14.23	9.05	10.2
At1g02400.1	ARF1	ABI3/VP1	490360	-	3559	14.23	9.05	11.72
At1g02405.1	ARF1	ABI3/VP1	490360	+	145	14.23	9.05	11.72
At1g02410.1	ARF1	ABI3/VP1	490360	-	-565	14.23	9.05	11.72
At1g02490.1	ARF1	ABI3/VP1	519891	-	3273	14.23	9.05	11.72
At1g02490.1	ARF1	ABI3/VP1	519160	-	2542	14.23	9.05	9.76
At1g02500.1	ARF1	ABI3/VP1	519160	-	909	14.23	9.05	9.76
At1g02500.1	ARF1	ABI3/VP1	519891	-	1640	14.23	9.05	11.72
At1g02510.1	ARF1	ABI3/VP1	519891	+	1777	14.23	9.05	11.72
At1g02510.1	ARF1	ABI3/VP1	519160	+	2508	14.23	9.05	9.76
