Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01046.1	GT-3b	Trihelix	30269	-	1769	n.a.	n.a.	n.a.
At1g01050.1	GT-3b	Trihelix	30269	+	2884	n.a.	n.a.	n.a.
At1g01140.1	GT-3b	Trihelix	68413	+	-788	n.a.	n.a.	n.a.
At1g01150.1	GT-3b	Trihelix	68413	+	3725	n.a.	n.a.	n.a.
At1g01160.1	GT-3b	Trihelix	74620	+	2281	n.a.	n.a.	n.a.
At1g01170.1	GT-3b	Trihelix	74620	-	117	n.a.	n.a.	n.a.
At1g01180.1	GT-3b	Trihelix	74620	+	-1013	n.a.	n.a.	n.a.
At1g01200.1	GT-3b	Trihelix	87455	-	758	n.a.	n.a.	n.a.
At1g01200.1	GT-3b	Trihelix	87504	-	709	n.a.	n.a.	n.a.
At1g01210.1	GT-3b	Trihelix	87504	+	-1394	n.a.	n.a.	n.a.
At1g01210.1	GT-3b	Trihelix	87455	+	-1443	n.a.	n.a.	n.a.
At1g01320.1	GT-3b	Trihelix	130401	-	-302	n.a.	n.a.	n.a.
At1g01400.1	GT-3b	Trihelix	152641	+	-431	n.a.	n.a.	n.a.
At1g01410.1	GT-3b	Trihelix	152641	-	-472	n.a.	n.a.	n.a.
At1g01700.1	GT-3b	Trihelix	262507	-	-1033	n.a.	n.a.	n.a.
At1g01710.1	GT-3b	Trihelix	262507	+	-321	n.a.	n.a.	n.a.
At1g02010.1	GT-3b	Trihelix	349894	-	2003	n.a.	n.a.	n.a.
At1g02030.1	GT-3b	Trihelix	357655	+	-397	n.a.	n.a.	n.a.
At1g02040.1	GT-3b	Trihelix	357655	+	1423	n.a.	n.a.	n.a.
At1g02090.1	GT-3b	Trihelix	390644	+	-997	n.a.	n.a.	n.a.
At1g02090.1	GT-3b	Trihelix	391104	+	-1457	n.a.	n.a.	n.a.
At1g02100.1	GT-3b	Trihelix	391104	-	1292	n.a.	n.a.	n.a.
At1g02100.1	GT-3b	Trihelix	390644	-	832	n.a.	n.a.	n.a.
At1g02110.1	GT-3b	Trihelix	391104	-	-1835	n.a.	n.a.	n.a.
At1g02120.1	GT-3b	Trihelix	399041	-	3280	n.a.	n.a.	n.a.
At1g02130.1	GT-3b	Trihelix	399041	+	2841	n.a.	n.a.	n.a.
At1g02136.1	GT-3b	Trihelix	399041	+	3920	n.a.	n.a.	n.a.
At1g02170.1	GT-3b	Trihelix	413506	-	1727	n.a.	n.a.	n.a.
At1g02180.1	GT-3b	Trihelix	413506	+	1139	n.a.	n.a.	n.a.
At1g02190.1	GT-3b	Trihelix	413506	-	-1573	n.a.	n.a.	n.a.
At1g02250.1	GT-3b	Trihelix	440580	+	-1021	n.a.	n.a.	n.a.
At1g02260.1	GT-3b	Trihelix	440580	+	2297	n.a.	n.a.	n.a.
At1g02310.1	GT-3b	Trihelix	460078	+	618	n.a.	n.a.	n.a.
At1g02320.1	GT-3b	Trihelix	460078	-	-1750	n.a.	n.a.	n.a.
At1g02380.1	GT-3b	Trihelix	480239	+	3239	n.a.	n.a.	n.a.
At1g02390.1	GT-3b	Trihelix	484506	+	3654	n.a.	n.a.	n.a.
At1g02390.1	GT-3b	Trihelix	480239	+	-613	n.a.	n.a.	n.a.
At1g02391.1	GT-3b	Trihelix	480239	-	3680	n.a.	n.a.	n.a.
At1g02391.1	GT-3b	Trihelix	484506	-	-587	n.a.	n.a.	n.a.
At1g02650.1	GT-3b	Trihelix	570772	-	2068	n.a.	n.a.	n.a.
At1g02690.1	GT-3b	Trihelix	588133	-	3873	n.a.	n.a.	n.a.
At1g02700.1	GT-3b	Trihelix	588133	-	-196	n.a.	n.a.	n.a.
At1g02710.1	GT-3b	Trihelix	588133	+	1863	n.a.	n.a.	n.a.
