Gene	Factor	Family	Position	Relative orientation	Relative distance	Max. Score	Threshold Score	Score
At1g01190.1	ABI5	bZIP	85193	-	-329	n.a.	n.a.	n.a.
At1g01200.1	ABI5	bZIP	85193	-	3020	n.a.	n.a.	n.a.
At1g01430.1	ABI5	bZIP	159504	+	-849	n.a.	n.a.	n.a.
At1g01440.1	ABI5	bZIP	159504	+	3068	n.a.	n.a.	n.a.
At1g01490.1	ABI5	bZIP	184249	+	-1891	n.a.	n.a.	n.a.
At1g01500.1	ABI5	bZIP	184249	-	-884	n.a.	n.a.	n.a.
At1g01600.1	ABI5	bZIP	220361	+	1367	n.a.	n.a.	n.a.
At1g01610.1	ABI5	bZIP	220361	-	3979	n.a.	n.a.	n.a.
At1g02100.1	ABI5	bZIP	393178	-	3366	n.a.	n.a.	n.a.
At1g02110.1	ABI5	bZIP	393178	-	239	n.a.	n.a.	n.a.
At1g02660.1	ABI5	bZIP	575652	-	-671	n.a.	n.a.	n.a.
At1g02670.1	ABI5	bZIP	575652	+	-394	n.a.	n.a.	n.a.
At1g03850.1	ABI5	bZIP	977449	+	311	n.a.	n.a.	n.a.
At1g04310.1	ABI5	bZIP	1159170	+	-1460	n.a.	n.a.	n.a.
At1g04320.1	ABI5	bZIP	1159170	-	148	n.a.	n.a.	n.a.
At1g04330.1	ABI5	bZIP	1159170	+	2811	n.a.	n.a.	n.a.
At1g05100.1	ABI5	bZIP	1469122	+	-487	n.a.	n.a.	n.a.
At1g05530.1	ABI5	bZIP	1637742	-	120	n.a.	n.a.	n.a.
At1g05540.1	ABI5	bZIP	1637742	+	-1543	n.a.	n.a.	n.a.
At1g05990.1	ABI5	bZIP	1822004	-	3558	n.a.	n.a.	n.a.
At1g06000.1	ABI5	bZIP	1822004	+	-111	n.a.	n.a.	n.a.
At1g06010.1	ABI5	bZIP	1822004	-	-613	n.a.	n.a.	n.a.
At1g06790.1	ABI5	bZIP	2091175	-	3944	n.a.	n.a.	n.a.
At1g06800.1	ABI5	bZIP	2091175	+	510	n.a.	n.a.	n.a.
At1g06810.1	ABI5	bZIP	2091175	+	1352	n.a.	n.a.	n.a.
At1g06900.1	ABI5	bZIP	2122047	-	-1303	n.a.	n.a.	n.a.
At1g06910.1	ABI5	bZIP	2122047	+	1057	n.a.	n.a.	n.a.
At1g06920.1	ABI5	bZIP	2122047	-	3753	n.a.	n.a.	n.a.
At1g07070.1	ABI5	bZIP	2169919	+	1356	n.a.	n.a.	n.a.
At1g07080.1	ABI5	bZIP	2169919	+	-62	n.a.	n.a.	n.a.
At1g07400.1	ABI5	bZIP	2275436	+	496	n.a.	n.a.	n.a.
At1g07410.1	ABI5	bZIP	2275436	+	-831	n.a.	n.a.	n.a.
At1g08065.1	ABI5	bZIP	2514174	-	-723	n.a.	n.a.	n.a.
At1g08070.1	ABI5	bZIP	2514174	-	2428	n.a.	n.a.	n.a.
At1g08165.1	ABI5	bZIP	2563768	+	-1623	n.a.	n.a.	n.a.
At1g08170.1	ABI5	bZIP	2563768	+	-99	n.a.	n.a.	n.a.
At1g08180.1	ABI5	bZIP	2563768	+	1350	n.a.	n.a.	n.a.
At1g08630.1	ABI5	bZIP	2748045	-	-1103	n.a.	n.a.	n.a.
At1g08640.1	ABI5	bZIP	2748045	-	3236	n.a.	n.a.	n.a.
At1g08735.1	ABI5	bZIP	2789290	-	-1003	n.a.	n.a.	n.a.
At1g08735.1	ABI5	bZIP	2789532	-	-761	n.a.	n.a.	n.a.
At1g08735.1	ABI5	bZIP	2789766	-	-527	n.a.	n.a.	n.a.
At1g09995.1	ABI5	bZIP	3264298	-	-684	n.a.	n.a.	n.a.
At1g10000.1	ABI5	bZIP	3264298	-	492	n.a.	n.a.	n.a.
At1g10010.1	ABI5	bZIP	3264298	+	-1680	n.a.	n.a.	n.a.
At1g10360.1	ABI5	bZIP	3398340	+	-1489	n.a.	n.a.	n.a.
At1g10370.1	ABI5	bZIP	3398340	+	19	n.a.	n.a.	n.a.
At1g10400.1	ABI5	bZIP	3416009	-	350	n.a.	n.a.	n.a.
At1g10410.1	ABI5	bZIP	3416009	-	3631	n.a.	n.a.	n.a.
At1g10410.1	ABI5	bZIP	3421314	-	-1674	n.a.	n.a.	n.a.
At1g11130.1	ABI5	bZIP	3726007	-	3150	n.a.	n.a.	n.a.
At1g11145.1	ABI5	bZIP	3728196	-	-30	n.a.	n.a.	n.a.
At1g11145.1	ABI5	bZIP	3726007	+	2159	n.a.	n.a.	n.a.
At1g11150.1	ABI5	bZIP	3728196	+	-775	n.a.	n.a.	n.a.
At1g11710.1	ABI5	bZIP	3951057	+	2343	n.a.	n.a.	n.a.
At1g11720.1	ABI5	bZIP	3951057	+	-1454	n.a.	n.a.	n.a.
At1g11820.1	ABI5	bZIP	3995213	+	-1689	n.a.	n.a.	n.a.
At1g11840.1	ABI5	bZIP	3995213	-	-188	n.a.	n.a.	n.a.
At1g12020.1	ABI5	bZIP	4065082	-	-1747	n.a.	n.a.	n.a.
At1g12030.1	ABI5	bZIP	4065082	-	1257	n.a.	n.a.	n.a.
At1g12420.1	ABI5	bZIP	4229813	+	-677	n.a.	n.a.	n.a.
At1g12423.1	ABI5	bZIP	4229813	+	1331	n.a.	n.a.	n.a.
At1g13670.1	ABI5	bZIP	4688467	+	314	n.a.	n.a.	n.a.
At1g13680.1	ABI5	bZIP	4688467	+	-1939	n.a.	n.a.	n.a.
At1g13730.1	ABI5	bZIP	4713586	-	3765	n.a.	n.a.	n.a.
At1g13740.1	ABI5	bZIP	4713586	-	-85	n.a.	n.a.	n.a.
At1g13810.1	ABI5	bZIP	4735544	-	1511	n.a.	n.a.	n.a.
At1g13820.1	ABI5	bZIP	4735544	-	0	n.a.	n.a.	n.a.
At1g14190.1	ABI5	bZIP	4854628	+	1831	n.a.	n.a.	n.a.
At1g14190.1	ABI5	bZIP	4854779	+	1982	n.a.	n.a.	n.a.
At1g14200.1	ABI5	bZIP	4854628	-	567	n.a.	n.a.	n.a.
At1g14200.1	ABI5	bZIP	4854779	-	416	n.a.	n.a.	n.a.
At1g14205.1	ABI5	bZIP	4854628	+	-949	n.a.	n.a.	n.a.
At1g14205.1	ABI5	bZIP	4854779	+	-798	n.a.	n.a.	n.a.
At1g14420.1	ABI5	bZIP	4935379	+	-1869	n.a.	n.a.	n.a.
At1g14430.1	ABI5	bZIP	4935379	-	1264	n.a.	n.a.	n.a.
At1g14570.1	ABI5	bZIP	4987172	-	3642	n.a.	n.a.	n.a.
At1g14720.1	ABI5	bZIP	5070586	+	-1946	n.a.	n.a.	n.a.
At1g16540.1	ABI5	bZIP	5659203	+	-205	n.a.	n.a.	n.a.
At1g17200.1	ABI5	bZIP	5882405	-	4000	n.a.	n.a.	n.a.
At1g17210.1	ABI5	bZIP	5882405	+	2344	n.a.	n.a.	n.a.
At1g17770.1	ABI5	bZIP	6121597	-	863	n.a.	n.a.	n.a.
At1g18120.1	ABI5	bZIP	6234654	+	2569	n.a.	n.a.	n.a.
At1g18130.1	ABI5	bZIP	6234654	+	-1234	n.a.	n.a.	n.a.
At1g18270.1	ABI5	bZIP	6294615	+	-751	n.a.	n.a.	n.a.
At1g18280.1	ABI5	bZIP	6294615	-	289	n.a.	n.a.	n.a.
At1g18350.1	ABI5	bZIP	6318850	+	3206	n.a.	n.a.	n.a.
At1g18360.1	ABI5	bZIP	6318850	-	570	n.a.	n.a.	n.a.
At1g18870.1	ABI5	bZIP	6519405	-	3770	n.a.	n.a.	n.a.
At1g18871.1	ABI5	bZIP	6519405	+	71	n.a.	n.a.	n.a.
At1g18880.1	ABI5	bZIP	6519405	-	-1334	n.a.	n.a.	n.a.
At1g19200.1	ABI5	bZIP	6627815	-	-1968	n.a.	n.a.	n.a.
At1g19210.1	ABI5	bZIP	6627815	-	-294	n.a.	n.a.	n.a.
At1g19340.1	ABI5	bZIP	6688606	+	3864	n.a.	n.a.	n.a.
At1g19350.1	ABI5	bZIP	6688606	+	-83	n.a.	n.a.	n.a.
At1g19360.1	ABI5	bZIP	6688606	-	3862	n.a.	n.a.	n.a.
At1g19392.1	ABI5	bZIP	6709449	+	901	n.a.	n.a.	n.a.
At1g19394.1	ABI5	bZIP	6709449	+	-315	n.a.	n.a.	n.a.
At1g19397.1	ABI5	bZIP	6709449	+	-1503	n.a.	n.a.	n.a.
At1g19650.1	ABI5	bZIP	6799793	-	-43	n.a.	n.a.	n.a.
At1g19660.1	ABI5	bZIP	6799793	-	2883	n.a.	n.a.	n.a.
At1g19840.1	ABI5	bZIP	6873107	+	139	n.a.	n.a.	n.a.
At1g19870.1	ABI5	bZIP	6899702	+	-986	n.a.	n.a.	n.a.
At1g20330.1	ABI5	bZIP	7039437	-	712	n.a.	n.a.	n.a.
At1g20340.1	ABI5	bZIP	7039437	-	3916	n.a.	n.a.	n.a.
At1g20820.1	ABI5	bZIP	7239286	-	3535	n.a.	n.a.	n.a.
At1g20823.1	ABI5	bZIP	7239286	+	497	n.a.	n.a.	n.a.
At1g20860.1	ABI5	bZIP	7258205	+	461	n.a.	n.a.	n.a.
At1g20870.1	ABI5	bZIP	7258205	+	2559	n.a.	n.a.	n.a.
At1g20875.1	ABI5	bZIP	7262927	-	1457	n.a.	n.a.	n.a.
At1g20880.1	ABI5	bZIP	7262927	+	2500	n.a.	n.a.	n.a.
At1g21040.1	ABI5	bZIP	7363841	-	-518	n.a.	n.a.	n.a.
At1g21040.1	ABI5	bZIP	7364075	-	-752	n.a.	n.a.	n.a.
At1g21040.1	ABI5	bZIP	7364317	-	-994	n.a.	n.a.	n.a.
At1g21525.1	ABI5	bZIP	7537761	-	-123	n.a.	n.a.	n.a.
At1g21930.1	ABI5	bZIP	7715373	-	2486	n.a.	n.a.	n.a.
At1g21940.1	ABI5	bZIP	7715373	+	1591	n.a.	n.a.	n.a.
At1g21940.1	ABI5	bZIP	7716948	+	16	n.a.	n.a.	n.a.
At1g21945.1	ABI5	bZIP	7716948	-	-867	n.a.	n.a.	n.a.
At1g22840.1	ABI5	bZIP	8082950	-	3674	n.a.	n.a.	n.a.
At1g22850.1	ABI5	bZIP	8082950	+	-86	n.a.	n.a.	n.a.
At1g22860.1	ABI5	bZIP	8082950	-	-439	n.a.	n.a.	n.a.
At1g23340.1	ABI5	bZIP	8285480	-	1341	n.a.	n.a.	n.a.
At1g24090.1	ABI5	bZIP	8523549	-	2726	n.a.	n.a.	n.a.
At1g24100.1	ABI5	bZIP	8523549	+	3527	n.a.	n.a.	n.a.
At1g24460.1	ABI5	bZIP	8668679	-	2619	n.a.	n.a.	n.a.
At1g24967.1	ABI5	bZIP	8796160	-	1769	n.a.	n.a.	n.a.
At1g25510.1	ABI5	bZIP	8960147	-	688	n.a.	n.a.	n.a.
At1g25520.1	ABI5	bZIP	8960147	+	-1965	n.a.	n.a.	n.a.
At1g26770.1	ABI5	bZIP	9262516	-	2924	n.a.	n.a.	n.a.
At1g26771.1	ABI5	bZIP	9262516	+	744	n.a.	n.a.	n.a.
At1g26773.1	ABI5	bZIP	9262516	-	-1875	n.a.	n.a.	n.a.
At1g27600.1	ABI5	bZIP	9606168	-	-80	n.a.	n.a.	n.a.
At1g27610.1	ABI5	bZIP	9606168	-	1396	n.a.	n.a.	n.a.
At1g27990.1	ABI5	bZIP	9754064	-	-125	n.a.	n.a.	n.a.
At1g28000.1	ABI5	bZIP	9754064	-	3886	n.a.	n.a.	n.a.
At1g29810.1	ABI5	bZIP	10438754	+	-1264	n.a.	n.a.	n.a.
At1g29820.1	ABI5	bZIP	10438754	-	1113	n.a.	n.a.	n.a.
At1g29830.1	ABI5	bZIP	10442695	-	1089	n.a.	n.a.	n.a.
At1g30250.1	ABI5	bZIP	10649038	+	-1543	n.a.	n.a.	n.a.
At1g30260.1	ABI5	bZIP	10654754	+	3719	n.a.	n.a.	n.a.
At1g30260.1	ABI5	bZIP	10649038	-	-1997	n.a.	n.a.	n.a.
At1g30270.1	ABI5	bZIP	10654754	+	-128	n.a.	n.a.	n.a.
At1g31030.1	ABI5	bZIP	11066807	+	375	n.a.	n.a.	n.a.
At1g31290.1	ABI5	bZIP	11190293	+	2019	n.a.	n.a.	n.a.
At1g31319.1	ABI5	bZIP	11213070	-	-1175	n.a.	n.a.	n.a.
At1g31320.1	ABI5	bZIP	11213070	+	72	n.a.	n.a.	n.a.
At1g31330.1	ABI5	bZIP	11213070	-	2948	n.a.	n.a.	n.a.
At1g32310.1	ABI5	bZIP	11655069	-	1525	n.a.	n.a.	n.a.
At1g32320.1	ABI5	bZIP	11655069	-	-67	n.a.	n.a.	n.a.
At1g32550.1	ABI5	bZIP	11774358	-	-191	n.a.	n.a.	n.a.
At1g32560.1	ABI5	bZIP	11774358	+	-106	n.a.	n.a.	n.a.
At1g32740.1	ABI5	bZIP	11846791	-	1934	n.a.	n.a.	n.a.
